[rosmaster.main][INFO] 2012-12-14 14:39:00,161: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 14:39:00,162: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 14:39:00,163: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 14:39:00,164: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 14:39:00,164: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 14:39:00,164: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 14:39:00,278: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,282: +PARAM [/roslaunch/uris/host_pc__34276] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,308: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,308: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,308: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,308: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,309: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,309: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,309: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,309: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,309: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,309: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:39:00,309: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
