[rosmaster.main][INFO] 2012-12-14 17:30:50,283: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:30:50,283: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:30:50,284: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:30:50,286: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:30:50,286: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:30:50,286: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:30:50,302: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,305: +PARAM [/roslaunch/uris/host_pc__38535] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,328: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,328: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,328: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,328: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,329: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,329: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,329: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,329: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,329: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,329: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,329: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,329: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,329: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:30:50,333: +SERVICE [/rosout/get_loggers] /rosout http://pc:37768/
[rosmaster.master][INFO] 2012-12-14 17:30:50,334: +SERVICE [/rosout/set_logger_level] /rosout http://pc:37768/
[rosmaster.master][INFO] 2012-12-14 17:30:50,336: +PUB [/rosout_agg] /rosout http://pc:37768/
[rosmaster.master][INFO] 2012-12-14 17:30:50,337: +SUB [/rosout] /rosout http://pc:37768/
[rosmaster.master][INFO] 2012-12-14 17:30:50,371: +PUB [/rosout] /camera/driver http://pc:57409/
[rosmaster.master][INFO] 2012-12-14 17:30:50,372: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:57409/
[rosmaster.master][INFO] 2012-12-14 17:30:50,375: +PUB [/rosout] /camera/rgb/debayer http://pc:44328/
[rosmaster.master][INFO] 2012-12-14 17:30:50,376: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:57409/
[rosmaster.master][INFO] 2012-12-14 17:30:50,379: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:44328/
[rosmaster.master][INFO] 2012-12-14 17:30:50,380: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:44328/
