[rosmaster.main][INFO] 2012-12-15 19:59:58,994: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 19:59:58,994: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 19:59:58,996: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 19:59:58,997: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 19:59:58,997: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 19:59:58,998: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 19:59:59,110: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,114: +PARAM [/roslaunch/uris/host_pc__37451] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,140: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,141: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,141: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,141: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,141: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,141: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,141: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,141: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,141: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,142: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,142: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,142: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,142: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:59:59,149: +SERVICE [/rosout/get_loggers] /rosout http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,151: +SERVICE [/rosout/set_logger_level] /rosout http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,155: +PUB [/rosout_agg] /rosout http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,156: +SUB [/rosout] /rosout http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,183: +PUB [/rosout] /camera/driver http://pc:49078/
[rosmaster.master][INFO] 2012-12-15 19:59:59,191: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:49078/
[rosmaster.master][INFO] 2012-12-15 19:59:59,195: publisherUpdate[/rosout] -> http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,198: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:49078/
[rosmaster.master][INFO] 2012-12-15 19:59:59,199: +PUB [/rosout] /camera/rgb/debayer http://pc:46877/
[rosmaster.master][INFO] 2012-12-15 19:59:59,208: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:46877/
[rosmaster.master][INFO] 2012-12-15 19:59:59,210: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 19:59:59,211: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:46877/
[rosmaster.master][INFO] 2012-12-15 19:59:59,213: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:60012/
[rosmaster.master][INFO] 2012-12-15 19:59:59,216: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:60012/
[rosmaster.master][INFO] 2012-12-15 19:59:59,219: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:60012/
[rosmaster.master][INFO] 2012-12-15 19:59:59,220: +PUB [/rosout] /camera/rgb/rectify_color http://pc:60367/
[rosmaster.master][INFO] 2012-12-15 19:59:59,225: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:60367/
[rosmaster.master][INFO] 2012-12-15 19:59:59,227: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:60367/
[rosmaster.master][INFO] 2012-12-15 19:59:59,235: +PUB [/rosout] /camera/ir/rectify_ir http://pc:34420/
[rosmaster.master][INFO] 2012-12-15 19:59:59,239: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:34420/
[rosmaster.master][INFO] 2012-12-15 19:59:59,242: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:34420/
[rosmaster.master][INFO] 2012-12-15 19:59:59,256: +PUB [/rosout] /camera/depth/rectify_depth http://pc:59755/
[rosmaster.master][INFO] 2012-12-15 19:59:59,259: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:59755/
[rosmaster.master][INFO] 2012-12-15 19:59:59,263: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:59755/
[rosmaster.master][INFO] 2012-12-15 19:59:59,273: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 19:59:59,275: +PUB [/rosout] /camera/depth/metric_rect http://pc:47754/
[rosmaster.master][INFO] 2012-12-15 19:59:59,288: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:47754/
[rosmaster.master][INFO] 2012-12-15 19:59:59,293: +PUB [/rosout] /camera/depth/metric http://pc:60610/
[rosmaster.master][INFO] 2012-12-15 19:59:59,295: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:47754/
[rosmaster.master][INFO] 2012-12-15 19:59:59,297: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:60610/
[rosmaster.master][INFO] 2012-12-15 19:59:59,299: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:60610/
[rosmaster.master][INFO] 2012-12-15 19:59:59,306: publisherUpdate[/rosout] -> http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,309: publisherUpdate[/rosout] -> http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,311: publisherUpdate[/rosout] -> http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,312: publisherUpdate[/rosout] -> http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,313: publisherUpdate[/rosout] -> http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,314: publisherUpdate[/rosout] -> http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,316: publisherUpdate[/rosout] -> http://pc:56823/
[rosmaster.master][INFO] 2012-12-15 19:59:59,341: +PUB [/rosout] /camera/depth/points http://pc:55464/
[rosmaster.master][INFO] 2012-12-15 19:59:59,350: +PUB [/rosout] /camera/register_depth_rgb http://pc:58817/
[rosmaster.master][INFO] 2012-12-15 19:59:59,359: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:58817/
[rosmaster.master][INFO] 2012-12-15 19:59:59,361: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:55464/
[rosmaster.master][INFO] 2012-12-15 19:59:59,365: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:36819/
[rosmaster.master][INFO] 2012-12-15 19:59:59,368: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:58817/
[rosmaster.master][INFO] 2012-12-15 19:59:59,369: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:55464/
[rosmaster.master][INFO] 2012-12-15 19:59:59,371: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:53005/
[rosmaster.master][INFO] 2012-12-15 19:59:59,373: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:36819/
[rosmaster.master][INFO] 2012-12-15 19:59:59,375: +PUB [/rosout] /camera/depth_registered/metric http://pc:60282/
[rosmaster.master][INFO] 2012-12-15 19:59:59,382: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:53005/
