[rosmaster.main][INFO] 2012-12-15 17:08:11,211: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:08:11,211: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:08:11,213: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:08:11,214: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:08:11,214: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:08:11,214: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:08:11,328: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,332: +PARAM [/roslaunch/uris/host_pc__49677] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,352: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,353: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,353: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,353: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,353: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,353: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,354: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,354: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,354: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,354: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,354: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,354: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,354: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:08:11,359: +SERVICE [/rosout/get_loggers] /rosout http://pc:36499/
