[rosmaster.main][INFO] 2012-12-14 17:09:22,396: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:09:22,396: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:09:22,398: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:09:22,399: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:09:22,399: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:09:22,399: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:09:22,513: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,517: +PARAM [/roslaunch/uris/host_pc__41184] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,542: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,543: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,543: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,543: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,543: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,543: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,543: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,543: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,543: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,544: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,544: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,544: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,544: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:09:22,548: +SERVICE [/rosout/get_loggers] /rosout http://pc:36061/
[rosmaster.master][INFO] 2012-12-14 17:09:22,549: +SERVICE [/rosout/set_logger_level] /rosout http://pc:36061/
[rosmaster.master][INFO] 2012-12-14 17:09:22,552: +PUB [/rosout_agg] /rosout http://pc:36061/
[rosmaster.master][INFO] 2012-12-14 17:09:22,554: +SUB [/rosout] /rosout http://pc:36061/
[rosmaster.master][INFO] 2012-12-14 17:09:22,581: +PUB [/rosout] /camera/driver http://pc:39097/
[rosmaster.master][INFO] 2012-12-14 17:09:22,584: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:39097/
[rosmaster.master][INFO] 2012-12-14 17:09:22,586: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:39097/
[rosmaster.master][INFO] 2012-12-14 17:09:22,590: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:09:22,597: publisherUpdate[/rosout] -> http://pc:36061/
[rosmaster.master][INFO] 2012-12-14 17:09:22,603: +PUB [/rosout] /camera/rgb/debayer http://pc:39342/
[rosmaster.master][INFO] 2012-12-14 17:09:22,607: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:35344/
