[rosmaster.main][INFO] 2012-12-15 17:15:21,803: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:15:21,803: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:15:21,804: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:15:21,805: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:15:21,805: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:15:21,806: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:15:21,817: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,821: +PARAM [/roslaunch/uris/host_pc__58049] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,846: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,846: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,846: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,846: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,846: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,847: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,847: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,847: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,847: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,847: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,847: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,848: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,848: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:15:21,853: +SERVICE [/rosout/get_loggers] /rosout http://pc:44909/
[rosmaster.master][INFO] 2012-12-15 17:15:21,854: +SERVICE [/rosout/set_logger_level] /rosout http://pc:44909/
[rosmaster.master][INFO] 2012-12-15 17:15:21,856: +PUB [/rosout_agg] /rosout http://pc:44909/
[rosmaster.master][INFO] 2012-12-15 17:15:21,857: +SUB [/rosout] /rosout http://pc:44909/
[rosmaster.master][INFO] 2012-12-15 17:15:21,884: +PUB [/rosout] /camera/driver http://pc:43109/
