[rosmaster.main][INFO] 2012-12-14 19:54:11,618: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 19:54:11,619: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 19:54:11,620: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 19:54:11,621: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 19:54:11,621: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 19:54:11,621: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 19:54:11,734: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,738: +PARAM [/roslaunch/uris/host_pc__54915] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,763: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,763: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,763: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,763: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,764: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,764: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,764: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,764: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,765: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,765: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,765: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,765: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,765: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:11,771: +SERVICE [/rosout/get_loggers] /rosout http://pc:60466/
[rosmaster.master][INFO] 2012-12-14 19:54:11,772: +SERVICE [/rosout/set_logger_level] /rosout http://pc:60466/
[rosmaster.master][INFO] 2012-12-14 19:54:11,775: +PUB [/rosout_agg] /rosout http://pc:60466/
[rosmaster.master][INFO] 2012-12-14 19:54:11,777: +SUB [/rosout] /rosout http://pc:60466/
[rosmaster.master][INFO] 2012-12-14 19:54:11,797: +PUB [/rosout] /camera/driver http://pc:53512/
[rosmaster.master][INFO] 2012-12-14 19:54:11,802: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:53512/
[rosmaster.master][INFO] 2012-12-14 19:54:11,804: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:53512/
[rosmaster.master][INFO] 2012-12-14 19:54:11,817: +PUB [/rosout] /camera/rgb/debayer http://pc:46221/
[rosmaster.master][INFO] 2012-12-14 19:54:11,819: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 19:54:11,820: publisherUpdate[/rosout] -> http://pc:60466/
[rosmaster.master][INFO] 2012-12-14 19:54:11,823: publisherUpdate[/rosout] -> http://pc:60466/
[rosmaster.master][INFO] 2012-12-14 19:54:11,825: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:46221/
[rosmaster.master][INFO] 2012-12-14 19:54:11,831: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:46221/
[rosmaster.master][INFO] 2012-12-14 19:54:11,834: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:36769/
[rosmaster.master][INFO] 2012-12-14 19:54:11,838: +PUB [/rosout] /camera/rgb/rectify_color http://pc:32783/
[rosmaster.master][INFO] 2012-12-14 19:54:11,839: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:36769/
[rosmaster.master][INFO] 2012-12-14 19:54:11,842: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:36769/
[rosmaster.master][INFO] 2012-12-14 19:54:11,844: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:32783/
