[rosmaster.main][INFO] 2012-12-14 18:35:27,699: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 18:35:27,699: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 18:35:27,701: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 18:35:27,702: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 18:35:27,702: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 18:35:27,702: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 18:35:27,803: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,806: +PARAM [/roslaunch/uris/host_pc__38955] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,831: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,831: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,831: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,831: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,832: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,832: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,832: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,832: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,832: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,832: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,832: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,832: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,832: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 18:35:27,835: +SERVICE [/rosout/get_loggers] /rosout http://pc:40546/
[rosmaster.master][INFO] 2012-12-14 18:35:27,836: +SERVICE [/rosout/set_logger_level] /rosout http://pc:40546/
[rosmaster.master][INFO] 2012-12-14 18:35:27,838: +PUB [/rosout_agg] /rosout http://pc:40546/
[rosmaster.master][INFO] 2012-12-14 18:35:27,839: +SUB [/rosout] /rosout http://pc:40546/
[rosmaster.master][INFO] 2012-12-14 18:35:27,863: +PUB [/rosout] /camera/driver http://pc:57995/
[rosmaster.master][INFO] 2012-12-14 18:35:27,865: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:57995/
[rosmaster.master][INFO] 2012-12-14 18:35:27,866: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:57995/
[rosmaster.master][INFO] 2012-12-14 18:35:27,873: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 18:35:27,882: +PUB [/rosout] /camera/rgb/debayer http://pc:60216/
[rosmaster.master][INFO] 2012-12-14 18:35:27,884: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:60216/
[rosmaster.master][INFO] 2012-12-14 18:35:27,885: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:60216/
[rosmaster.master][INFO] 2012-12-14 18:35:27,900: publisherUpdate[/rosout] -> http://pc:40546/
[rosmaster.master][INFO] 2012-12-14 18:35:27,903: publisherUpdate[/rosout] -> http://pc:40546/
[rosmaster.master][INFO] 2012-12-14 18:35:27,907: +PUB [/rosout] /camera/rgb/rectify_color http://pc:47101/
[rosmaster.master][INFO] 2012-12-14 18:35:27,909: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:59872/
[rosmaster.master][INFO] 2012-12-14 18:35:27,910: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:47101/
[rosmaster.master][INFO] 2012-12-14 18:35:27,912: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:59872/
[rosmaster.master][INFO] 2012-12-14 18:35:27,915: +PUB [/rosout] /camera/ir/rectify_ir http://pc:53071/
[rosmaster.master][INFO] 2012-12-14 18:35:27,916: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:47101/
[rosmaster.master][INFO] 2012-12-14 18:35:27,920: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:59872/
[rosmaster.master][INFO] 2012-12-14 18:35:27,933: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:53071/
[rosmaster.master][INFO] 2012-12-14 18:35:27,945: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:53071/
[rosmaster.master][INFO] 2012-12-14 18:35:27,952: +PUB [/rosout] /camera/depth/rectify_depth http://pc:57206/
[rosmaster.master][INFO] 2012-12-14 18:35:27,959: +PUB [/rosout] /camera/depth/metric_rect http://pc:57160/
[rosmaster.master][INFO] 2012-12-14 18:35:27,965: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:57206/
[rosmaster.master][INFO] 2012-12-14 18:35:27,982: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:57160/
[rosmaster.master][INFO] 2012-12-14 18:35:27,986: +PUB [/rosout] /camera/depth/points http://pc:58507/
[rosmaster.master][INFO] 2012-12-14 18:35:27,991: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:57160/
[rosmaster.master][INFO] 2012-12-14 18:35:27,994: +PUB [/rosout] /camera/register_depth_rgb http://pc:56205/
