[rosmaster.main][INFO] 2012-12-14 21:12:59,520: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 21:12:59,520: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 21:12:59,522: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 21:12:59,523: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 21:12:59,523: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 21:12:59,524: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 21:12:59,536: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,540: +PARAM [/roslaunch/uris/host_pc__56155] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,565: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,565: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,566: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,566: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,566: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,566: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,566: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,567: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,567: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,567: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,568: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,568: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,569: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:12:59,570: +SERVICE [/rosout/get_loggers] /rosout http://pc:36345/
[rosmaster.master][INFO] 2012-12-14 21:12:59,574: +SERVICE [/rosout/set_logger_level] /rosout http://pc:36345/
[rosmaster.master][INFO] 2012-12-14 21:12:59,577: +PUB [/rosout_agg] /rosout http://pc:36345/
[rosmaster.master][INFO] 2012-12-14 21:12:59,578: +SUB [/rosout] /rosout http://pc:36345/
[rosmaster.master][INFO] 2012-12-14 21:12:59,602: +PUB [/rosout] /camera/driver http://pc:36331/
[rosmaster.master][INFO] 2012-12-14 21:12:59,604: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:36331/
[rosmaster.master][INFO] 2012-12-14 21:12:59,606: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:36331/
[rosmaster.master][INFO] 2012-12-14 21:12:59,611: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 21:12:59,615: +PUB [/rosout] /camera/rgb/debayer http://pc:54954/
[rosmaster.master][INFO] 2012-12-14 21:12:59,617: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:54954/
[rosmaster.master][INFO] 2012-12-14 21:12:59,619: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:54954/
[rosmaster.master][INFO] 2012-12-14 21:12:59,621: publisherUpdate[/rosout] -> http://pc:36345/
[rosmaster.master][INFO] 2012-12-14 21:12:59,625: publisherUpdate[/rosout] -> http://pc:36345/
[rosmaster.master][INFO] 2012-12-14 21:12:59,633: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:34126/
[rosmaster.master][INFO] 2012-12-14 21:12:59,635: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:34126/
[rosmaster.master][INFO] 2012-12-14 21:12:59,637: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:34126/
[rosmaster.master][INFO] 2012-12-14 21:12:59,650: +PUB [/rosout] /camera/rgb/rectify_color http://pc:60017/
[rosmaster.master][INFO] 2012-12-14 21:12:59,655: +PUB [/rosout] /camera/ir/rectify_ir http://pc:53269/
[rosmaster.master][INFO] 2012-12-14 21:12:59,656: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:60017/
[rosmaster.master][INFO] 2012-12-14 21:12:59,658: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:53269/
[rosmaster.master][INFO] 2012-12-14 21:12:59,667: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:60017/
[rosmaster.master][INFO] 2012-12-14 21:12:59,670: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:53269/
[rosmaster.master][INFO] 2012-12-14 21:12:59,671: +PUB [/rosout] /camera/depth/rectify_depth http://pc:39450/
[rosmaster.master][INFO] 2012-12-14 21:12:59,681: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:39450/
[rosmaster.master][INFO] 2012-12-14 21:12:59,683: +PUB [/rosout] /camera/depth/metric_rect http://pc:47112/
[rosmaster.master][INFO] 2012-12-14 21:12:59,692: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:39450/
[rosmaster.master][INFO] 2012-12-14 21:12:59,695: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:47112/
[rosmaster.master][INFO] 2012-12-14 21:12:59,700: +PUB [/rosout] /camera/depth/metric http://pc:38138/
[rosmaster.master][INFO] 2012-12-14 21:12:59,703: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:47112/
[rosmaster.master][INFO] 2012-12-14 21:12:59,710: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:38138/
[rosmaster.master][INFO] 2012-12-14 21:12:59,721: +PUB [/rosout] /camera/depth/points http://pc:38522/
[rosmaster.master][INFO] 2012-12-14 21:12:59,723: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:38138/
[rosmaster.master][INFO] 2012-12-14 21:12:59,725: publisherUpdate[/rosout] -> http://pc:36345/
[rosmaster.master][INFO] 2012-12-14 21:12:59,726: publisherUpdate[/rosout] -> http://pc:36345/
