[rosmaster.main][INFO] 2012-12-15 16:04:07,703: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 16:04:07,703: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 16:04:07,704: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 16:04:07,705: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 16:04:07,705: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 16:04:07,706: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 16:04:07,816: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,820: +PARAM [/roslaunch/uris/host_pc__50348] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,848: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,848: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,848: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,848: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,849: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,849: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,849: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,849: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,849: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,850: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,850: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,850: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,850: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:07,855: +SERVICE [/rosout/get_loggers] /rosout http://pc:36735/
[rosmaster.master][INFO] 2012-12-15 16:04:07,856: +SERVICE [/rosout/set_logger_level] /rosout http://pc:36735/
[rosmaster.master][INFO] 2012-12-15 16:04:07,858: +PUB [/rosout_agg] /rosout http://pc:36735/
[rosmaster.master][INFO] 2012-12-15 16:04:07,859: +SUB [/rosout] /rosout http://pc:36735/
[rosmaster.master][INFO] 2012-12-15 16:04:07,888: +PUB [/rosout] /camera/driver http://pc:37312/
[rosmaster.master][INFO] 2012-12-15 16:04:07,889: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:37312/
[rosmaster.master][INFO] 2012-12-15 16:04:07,890: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:37312/
