[rosmaster.main][INFO] 2012-12-15 18:13:09,754: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:13:09,755: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:13:09,756: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:13:09,757: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:13:09,757: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:13:09,758: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:13:09,862: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,867: +PARAM [/roslaunch/uris/host_pc__46584] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,899: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,900: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,900: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,900: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,900: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,901: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,901: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,901: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,901: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,902: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,902: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,902: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,902: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:13:09,906: +SERVICE [/rosout/get_loggers] /rosout http://pc:50284/
[rosmaster.master][INFO] 2012-12-15 18:13:09,907: +SERVICE [/rosout/set_logger_level] /rosout http://pc:50284/
[rosmaster.master][INFO] 2012-12-15 18:13:09,911: +PUB [/rosout_agg] /rosout http://pc:50284/
[rosmaster.master][INFO] 2012-12-15 18:13:09,912: +SUB [/rosout] /rosout http://pc:50284/
[rosmaster.master][INFO] 2012-12-15 18:13:09,941: +PUB [/rosout] /camera/driver http://pc:52963/
[rosmaster.master][INFO] 2012-12-15 18:13:09,947: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:52963/
[rosmaster.master][INFO] 2012-12-15 18:13:09,948: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:52963/
[rosmaster.master][INFO] 2012-12-15 18:13:09,956: publisherUpdate[/rosout] -> http://pc:50284/
[rosmaster.master][INFO] 2012-12-15 18:13:09,968: +PUB [/rosout] /camera/rgb/debayer http://pc:51565/
