[rosmaster.main][INFO] 2012-12-15 20:07:47,722: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 20:07:47,722: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 20:07:47,724: XML-RPC server binding to 0.0.0.0
[rosmaster.master][INFO] 2012-12-15 20:07:47,725: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 20:07:47,725: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 20:07:47,725: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 20:07:47,745: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,753: +PARAM [/roslaunch/uris/host_pc__34331] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,774: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,775: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,775: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,775: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,775: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,775: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,775: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,776: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,776: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,776: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,776: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,776: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,776: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:07:47,783: +SERVICE [/rosout/get_loggers] /rosout http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,784: +SERVICE [/rosout/set_logger_level] /rosout http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,787: +PUB [/rosout_agg] /rosout http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,789: +SUB [/rosout] /rosout http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,820: +PUB [/rosout] /camera/driver http://pc:42974/
[rosmaster.master][INFO] 2012-12-15 20:07:47,822: +PUB [/rosout] /camera/rgb/debayer http://pc:38290/
[rosmaster.master][INFO] 2012-12-15 20:07:47,823: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,831: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,832: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:38290/
[rosmaster.master][INFO] 2012-12-15 20:07:47,837: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:42974/
[rosmaster.master][INFO] 2012-12-15 20:07:47,839: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:38290/
[rosmaster.master][INFO] 2012-12-15 20:07:47,840: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:37131/
[rosmaster.master][INFO] 2012-12-15 20:07:47,842: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:42974/
[rosmaster.master][INFO] 2012-12-15 20:07:47,847: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:37131/
[rosmaster.master][INFO] 2012-12-15 20:07:47,852: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:37131/
[rosmaster.master][INFO] 2012-12-15 20:07:47,869: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 20:07:47,870: +PUB [/rosout] /camera/rgb/rectify_color http://pc:39056/
[rosmaster.master][INFO] 2012-12-15 20:07:47,883: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:39056/
[rosmaster.master][INFO] 2012-12-15 20:07:47,886: +PUB [/rosout] /camera/ir/rectify_ir http://pc:57056/
[rosmaster.master][INFO] 2012-12-15 20:07:47,891: +PUB [/rosout] /camera/depth/rectify_depth http://pc:43199/
[rosmaster.master][INFO] 2012-12-15 20:07:47,892: +PUB [/rosout] /camera/depth/metric_rect http://pc:32956/
[rosmaster.master][INFO] 2012-12-15 20:07:47,898: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:39056/
[rosmaster.master][INFO] 2012-12-15 20:07:47,902: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:57056/
[rosmaster.master][INFO] 2012-12-15 20:07:47,909: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:43199/
[rosmaster.master][INFO] 2012-12-15 20:07:47,912: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:32956/
[rosmaster.master][INFO] 2012-12-15 20:07:47,921: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:43199/
[rosmaster.master][INFO] 2012-12-15 20:07:47,923: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:32956/
[rosmaster.master][INFO] 2012-12-15 20:07:47,925: +PUB [/rosout] /camera/depth/metric http://pc:54799/
[rosmaster.master][INFO] 2012-12-15 20:07:47,931: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,939: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,940: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,942: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,943: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,949: +PUB [/rosout] /camera/depth/points http://pc:40923/
[rosmaster.master][INFO] 2012-12-15 20:07:47,955: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,960: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:47,970: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:54799/
[rosmaster.master][INFO] 2012-12-15 20:07:47,977: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:40923/
[rosmaster.master][INFO] 2012-12-15 20:07:47,978: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:36360/
[rosmaster.master][INFO] 2012-12-15 20:07:47,980: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:54799/
[rosmaster.master][INFO] 2012-12-15 20:07:47,982: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:60821/
[rosmaster.master][INFO] 2012-12-15 20:07:47,985: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:40923/
[rosmaster.master][INFO] 2012-12-15 20:07:47,988: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:36360/
[rosmaster.master][INFO] 2012-12-15 20:07:47,991: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:55259/
[rosmaster.master][INFO] 2012-12-15 20:07:47,995: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:60821/
[rosmaster.master][INFO] 2012-12-15 20:07:47,999: +PUB [/rosout] /camera/disparity_depth_registered http://pc:54892/
[rosmaster.master][INFO] 2012-12-15 20:07:48,001: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:55259/
[rosmaster.master][INFO] 2012-12-15 20:07:48,003: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:36360/
[rosmaster.master][INFO] 2012-12-15 20:07:48,005: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:60821/
[rosmaster.master][INFO] 2012-12-15 20:07:48,007: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:54892/
[rosmaster.master][INFO] 2012-12-15 20:07:48,010: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:55259/
[rosmaster.master][INFO] 2012-12-15 20:07:48,012: +PUB [/rosout] /camera_base_link http://pc:34436/
[rosmaster.master][INFO] 2012-12-15 20:07:48,016: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:54892/
[rosmaster.master][INFO] 2012-12-15 20:07:48,021: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:34436/
[rosmaster.master][INFO] 2012-12-15 20:07:48,029: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-15 20:07:48,040: +PUB [/rosout] /camera_base_link1 http://pc:58816/
[rosmaster.master][INFO] 2012-12-15 20:07:48,040: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,042: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,044: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,046: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,047: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,050: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,054: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:58816/
[rosmaster.master][INFO] 2012-12-15 20:07:48,058: +PARAM [/camera/disparity_depth_registered] by /camera/disparity_depth_registered
[rosmaster.master][INFO] 2012-12-15 20:07:48,060: +PUB [/rosout] /camera_base_link3 http://pc:33013/
[rosmaster.master][INFO] 2012-12-15 20:07:48,062: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:58816/
[rosmaster.master][INFO] 2012-12-15 20:07:48,070: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,071: +PUB [/rosout] /camera_base_link2 http://pc:47563/
[rosmaster.master][INFO] 2012-12-15 20:07:48,074: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,075: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:33013/
[rosmaster.master][INFO] 2012-12-15 20:07:48,087: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:47563/
[rosmaster.master][INFO] 2012-12-15 20:07:48,089: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:33013/
[rosmaster.master][INFO] 2012-12-15 20:07:48,092: +PUB [/tf] /camera_base_link1 http://pc:58816/
[rosmaster.master][INFO] 2012-12-15 20:07:48,094: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:47563/
[rosmaster.master][INFO] 2012-12-15 20:07:48,106: +PUB [/tf] /camera_base_link3 http://pc:33013/
[rosmaster.master][INFO] 2012-12-15 20:07:48,112: +PUB [/tf] /camera_base_link2 http://pc:47563/
[rosmaster.master][INFO] 2012-12-15 20:07:48,131: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:57056/
[rosmaster.master][INFO] 2012-12-15 20:07:48,162: +PUB [/rosout] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,165: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,166: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,168: +SERVICE [/camera_nodelet_manager/load_nodelet] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,169: +SERVICE [/camera_nodelet_manager/unload_nodelet] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,170: +SERVICE [/camera_nodelet_manager/list] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,176: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,487: +PUB [/rosout] /set_dr http://pc:52843/
[rosmaster.master][INFO] 2012-12-15 20:07:48,492: +PUB [/camera/depth_registered/image_rect/compressed] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,494: +SERVICE [/camera/depth_registered/image_rect/compressed/set_parameters] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,495: +PUB [/camera/depth_registered/image_rect/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,497: +PUB [/camera/depth_registered/image_rect/compressed/parameter_updates] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,502: +PARAM [/camera/depth_registered/image_rect/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,503: +PARAM [/camera/depth_registered/image_rect/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,504: +PARAM [/camera/depth_registered/image_rect/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,505: +PUB [/camera/depth_registered/image_rect] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,509: +PUB [/camera/depth_registered/image_rect/theora] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,511: +SERVICE [/camera/depth_registered/image_rect/theora/set_parameters] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,512: +PUB [/camera/depth_registered/image_rect/theora/parameter_descriptions] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,514: +PUB [/camera/depth_registered/image_rect/theora/parameter_updates] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,518: +PARAM [/camera/depth_registered/image_rect/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,519: +PARAM [/camera/depth_registered/image_rect/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,520: +PARAM [/camera/depth_registered/image_rect/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,521: +PARAM [/camera/depth_registered/image_rect/theora/keyframe_frequency] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,544: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,780: +SERVICE [/camera/depth_registered/rectify_depth/set_parameters] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,781: +PUB [/camera/depth_registered/rectify_depth/parameter_descriptions] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,783: +PUB [/camera/depth_registered/rectify_depth/parameter_updates] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,786: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,788: +PUB [/camera/depth_registered/image_rect_raw/compressed] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,789: +SERVICE [/camera/depth_registered/image_rect_raw/compressed/set_parameters] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,791: +PUB [/camera/depth_registered/image_rect_raw/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,793: +PUB [/camera/depth_registered/image_rect_raw/compressed/parameter_updates] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,801: +PARAM [/camera/depth_registered/image_rect_raw/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,803: +PARAM [/camera/depth_registered/image_rect_raw/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,805: +PARAM [/camera/depth_registered/image_rect_raw/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,808: +PUB [/camera/depth_registered/image_rect_raw] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,812: +PUB [/camera/depth_registered/image_rect_raw/theora] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,814: +SERVICE [/camera/depth_registered/image_rect_raw/theora/set_parameters] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,817: +PUB [/camera/depth_registered/image_rect_raw/theora/parameter_descriptions] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,820: +PUB [/camera/depth_registered/image_rect_raw/theora/parameter_updates] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,833: +PARAM [/camera/depth_registered/image_rect_raw/theora/optimize_for] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,835: +PARAM [/camera/depth_registered/image_rect_raw/theora/target_bitrate] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,837: +PARAM [/camera/depth_registered/image_rect_raw/theora/quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,840: +PARAM [/camera/depth_registered/image_rect_raw/theora/keyframe_frequency] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-15 20:07:48,904: +PUB [/rosout] /depth_detection http://pc:53596/
[rosmaster.master][INFO] 2012-12-15 20:07:48,937: +SUB [/camera/depth_registered/image_rect] /depth_detection http://pc:53596/
[rosmaster.master][INFO] 2012-12-15 20:07:48,939: +SUB [/camera/rgb/image_rect_color] /depth_detection http://pc:53596/
[rosmaster.master][INFO] 2012-12-15 20:07:48,949: publisherUpdate[/rosout] -> http://pc:41874/
[rosmaster.master][INFO] 2012-12-15 20:07:48,960: +SUB [/camera/depth_registered/image_rect_raw] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,963: +SUB [/camera/depth_registered/image_raw] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:48,965: +SUB [/camera/depth_registered/camera_info] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:49,162: +PUB [/camera/depth/image/compressed] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:49,163: +SERVICE [/camera/depth/image/compressed/set_parameters] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:49,165: +PUB [/camera/depth/image/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:49,166: +PUB [/camera/depth/image/compressed/parameter_updates] /camera_nodelet_manager http://pc:36254/
[rosmaster.master][INFO] 2012-12-15 20:07:49,171: +PARAM [/camera/depth/image/compressed/format] by /camera_nodelet_manager
