[rosmaster.main][INFO] 2012-12-15 15:28:39,803: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 15:28:39,803: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 15:28:39,805: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 15:28:39,806: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 15:28:39,806: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 15:28:39,806: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 15:28:39,920: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,924: +PARAM [/roslaunch/uris/host_pc__36807] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,977: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,977: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,978: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,978: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,978: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,979: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,979: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,979: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,979: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,980: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,980: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,980: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:39,981: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:28:41,498: +PUB [/rosout] /set_dr http://pc:38589/
[rosmaster.master][INFO] 2012-12-15 15:28:41,809: +PUB [/rosout] /camera_base_link1 http://pc:38915/
[rosmaster.master][INFO] 2012-12-15 15:28:41,811: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:57436/
[rosmaster.master][INFO] 2012-12-15 15:28:41,811: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:41206/
[rosmaster.master][INFO] 2012-12-15 15:28:41,812: +PUB [/rosout] /camera/disparity_depth_registered http://pc:57748/
