[rosmaster.main][INFO] 2012-12-15 17:16:05,826: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:16:05,826: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:16:05,828: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:16:05,829: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:16:05,829: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:16:05,829: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:16:05,943: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,947: +PARAM [/roslaunch/uris/host_pc__36006] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,973: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,974: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,974: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,974: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,974: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,974: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,975: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,975: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,975: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,975: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:05,976: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
