[rosmaster.main][INFO] 2012-12-14 20:37:45,255: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:37:45,255: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:37:45,256: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:37:45,257: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:37:45,257: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:37:45,258: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:37:45,272: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,276: +PARAM [/roslaunch/uris/host_pc__42454] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,304: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,305: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,305: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,305: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,305: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,306: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,307: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,307: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,308: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,308: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,309: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,309: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,309: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:37:45,311: +SERVICE [/rosout/get_loggers] /rosout http://pc:35734/
[rosmaster.master][INFO] 2012-12-14 20:37:45,312: +SERVICE [/rosout/set_logger_level] /rosout http://pc:35734/
[rosmaster.master][INFO] 2012-12-14 20:37:45,314: +PUB [/rosout_agg] /rosout http://pc:35734/
