[rosmaster.main][INFO] 2012-12-15 15:43:07,029: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 15:43:07,029: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 15:43:07,031: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 15:43:07,031: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 15:43:07,032: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 15:43:07,032: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 15:43:07,144: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,148: +PARAM [/roslaunch/uris/host_pc__39282] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,175: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,175: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,176: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,176: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,176: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,176: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,176: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,177: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,177: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,177: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,178: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,178: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,179: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:43:07,181: +SERVICE [/rosout/get_loggers] /rosout http://pc:33744/
[rosmaster.master][INFO] 2012-12-15 15:43:07,182: +SERVICE [/rosout/set_logger_level] /rosout http://pc:33744/
[rosmaster.master][INFO] 2012-12-15 15:43:07,184: +PUB [/rosout_agg] /rosout http://pc:33744/
[rosmaster.master][INFO] 2012-12-15 15:43:07,185: +SUB [/rosout] /rosout http://pc:33744/
[rosmaster.master][INFO] 2012-12-15 15:43:07,213: +PUB [/rosout] /camera/driver http://pc:47421/
[rosmaster.master][INFO] 2012-12-15 15:43:07,214: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:47421/
[rosmaster.master][INFO] 2012-12-15 15:43:07,221: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:47421/
[rosmaster.master][INFO] 2012-12-15 15:43:07,223: +PUB [/rosout] /camera/rgb/debayer http://pc:45291/
[rosmaster.master][INFO] 2012-12-15 15:43:07,226: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 15:43:07,228: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:45291/
[rosmaster.master][INFO] 2012-12-15 15:43:07,231: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:58766/
[rosmaster.master][INFO] 2012-12-15 15:43:07,233: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:45291/
[rosmaster.master][INFO] 2012-12-15 15:43:07,233: publisherUpdate[/rosout] -> http://pc:33744/
