[rosmaster.main][INFO] 2012-12-14 17:17:25,613: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:17:25,613: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:17:25,615: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:17:25,616: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:17:25,616: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:17:25,616: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:17:25,631: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,634: +PARAM [/roslaunch/uris/host_pc__37270] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,664: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,665: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,665: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,665: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,665: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,666: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,666: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,666: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,666: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,667: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,667: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,667: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,667: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:17:25,670: +SERVICE [/rosout/get_loggers] /rosout http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,671: +SERVICE [/rosout/set_logger_level] /rosout http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,674: +PUB [/rosout_agg] /rosout http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,675: +SUB [/rosout] /rosout http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,699: +PUB [/rosout] /camera/driver http://pc:35045/
[rosmaster.master][INFO] 2012-12-14 17:17:25,701: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:35045/
[rosmaster.master][INFO] 2012-12-14 17:17:25,703: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:35045/
[rosmaster.master][INFO] 2012-12-14 17:17:25,710: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:17:25,714: publisherUpdate[/rosout] -> http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,730: publisherUpdate[/rosout] -> http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,715: +PUB [/rosout] /camera/rgb/debayer http://pc:37765/
[rosmaster.master][INFO] 2012-12-14 17:17:25,735: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:34093/
[rosmaster.master][INFO] 2012-12-14 17:17:25,736: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:37765/
[rosmaster.master][INFO] 2012-12-14 17:17:25,741: +PUB [/rosout] /camera/rgb/rectify_color http://pc:48209/
[rosmaster.master][INFO] 2012-12-14 17:17:25,742: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:37765/
[rosmaster.master][INFO] 2012-12-14 17:17:25,743: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:34093/
[rosmaster.master][INFO] 2012-12-14 17:17:25,747: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:48209/
[rosmaster.master][INFO] 2012-12-14 17:17:25,749: +PUB [/rosout] /camera/ir/rectify_ir http://pc:49783/
[rosmaster.master][INFO] 2012-12-14 17:17:25,756: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:34093/
[rosmaster.master][INFO] 2012-12-14 17:17:25,757: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:48209/
[rosmaster.master][INFO] 2012-12-14 17:17:25,758: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:49783/
[rosmaster.master][INFO] 2012-12-14 17:17:25,772: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:49783/
[rosmaster.master][INFO] 2012-12-14 17:17:25,774: +PUB [/rosout] /camera/depth/rectify_depth http://pc:49495/
[rosmaster.master][INFO] 2012-12-14 17:17:25,789: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:49495/
[rosmaster.master][INFO] 2012-12-14 17:17:25,794: +PUB [/rosout] /camera/depth/metric_rect http://pc:55908/
[rosmaster.master][INFO] 2012-12-14 17:17:25,802: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:49495/
[rosmaster.master][INFO] 2012-12-14 17:17:25,803: +PUB [/rosout] /camera/depth/metric http://pc:49327/
[rosmaster.master][INFO] 2012-12-14 17:17:25,816: publisherUpdate[/rosout] -> http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,817: publisherUpdate[/rosout] -> http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,818: publisherUpdate[/rosout] -> http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,820: publisherUpdate[/rosout] -> http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,822: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:49327/
[rosmaster.master][INFO] 2012-12-14 17:17:25,822: publisherUpdate[/rosout] -> http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,827: publisherUpdate[/rosout] -> http://pc:37579/
[rosmaster.master][INFO] 2012-12-14 17:17:25,829: +PUB [/rosout] /camera/depth/points http://pc:57593/
[rosmaster.master][INFO] 2012-12-14 17:17:25,831: +PUB [/rosout] /camera/register_depth_rgb http://pc:33352/
[rosmaster.master][INFO] 2012-12-14 17:17:25,835: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:58011/
[rosmaster.master][INFO] 2012-12-14 17:17:25,836: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:49327/
