[rosmaster.main][INFO] 2012-12-14 19:54:56,836: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 19:54:56,837: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 19:54:56,838: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 19:54:56,839: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 19:54:56,839: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 19:54:56,839: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 19:54:56,857: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,861: +PARAM [/roslaunch/uris/host_pc__48277] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,886: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,886: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,886: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,887: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,887: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,888: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,888: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,889: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,889: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,889: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,889: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,889: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,889: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 19:54:56,891: +SERVICE [/rosout/get_loggers] /rosout http://pc:52942/
[rosmaster.master][INFO] 2012-12-14 19:54:56,892: +SERVICE [/rosout/set_logger_level] /rosout http://pc:52942/
[rosmaster.master][INFO] 2012-12-14 19:54:56,894: +PUB [/rosout_agg] /rosout http://pc:52942/
[rosmaster.master][INFO] 2012-12-14 19:54:56,895: +SUB [/rosout] /rosout http://pc:52942/
[rosmaster.master][INFO] 2012-12-14 19:54:56,928: +PUB [/rosout] /camera/driver http://pc:54254/
[rosmaster.master][INFO] 2012-12-14 19:54:56,930: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:54254/
[rosmaster.master][INFO] 2012-12-14 19:54:56,932: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:54254/
[rosmaster.master][INFO] 2012-12-14 19:54:56,937: publisherUpdate[/rosout] -> http://pc:52942/
[rosmaster.master][INFO] 2012-12-14 19:54:56,941: +PUB [/rosout] /camera/rgb/debayer http://pc:48977/
[rosmaster.master][INFO] 2012-12-14 19:54:56,947: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 19:54:56,950: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:48977/
[rosmaster.master][INFO] 2012-12-14 19:54:56,955: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:52275/
[rosmaster.master][INFO] 2012-12-14 19:54:56,959: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:48977/
[rosmaster.master][INFO] 2012-12-14 19:54:56,962: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:52275/
[rosmaster.master][INFO] 2012-12-14 19:54:56,967: +PUB [/rosout] /camera/rgb/rectify_color http://pc:43456/
