[rosmaster.main][INFO] 2012-12-15 16:04:41,861: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 16:04:41,861: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 16:04:41,862: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 16:04:41,862: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 16:04:41,863: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 16:04:41,863: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 16:04:41,974: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:41,978: +PARAM [/roslaunch/uris/host_pc__37143] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:41,999: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,000: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,000: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,000: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,000: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,000: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,000: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,000: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,001: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,001: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,001: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,001: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,001: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:04:42,007: +SERVICE [/rosout/get_loggers] /rosout http://pc:37095/
[rosmaster.master][INFO] 2012-12-15 16:04:42,009: +SERVICE [/rosout/set_logger_level] /rosout http://pc:37095/
[rosmaster.master][INFO] 2012-12-15 16:04:42,013: +PUB [/rosout_agg] /rosout http://pc:37095/
[rosmaster.master][INFO] 2012-12-15 16:04:42,015: +SUB [/rosout] /rosout http://pc:37095/
[rosmaster.master][INFO] 2012-12-15 16:04:42,036: +PUB [/rosout] /camera/driver http://pc:46878/
[rosmaster.master][INFO] 2012-12-15 16:04:42,038: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:46878/
[rosmaster.master][INFO] 2012-12-15 16:04:42,039: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:46878/
[rosmaster.master][INFO] 2012-12-15 16:04:42,044: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 16:04:42,049: +PUB [/rosout] /camera/rgb/debayer http://pc:43918/
[rosmaster.master][INFO] 2012-12-15 16:04:42,055: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:43918/
