[rosmaster.main][INFO] 2012-12-15 17:59:27,207: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:59:27,207: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:59:27,208: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:59:27,209: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:59:27,209: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:59:27,209: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:59:27,324: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,328: +PARAM [/roslaunch/uris/host_pc__60474] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,356: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,356: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,356: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,356: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,356: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,357: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,357: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,357: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,357: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,357: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,357: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,357: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,357: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:59:27,362: +SERVICE [/rosout/get_loggers] /rosout http://pc:49817/
[rosmaster.master][INFO] 2012-12-15 17:59:27,364: +SERVICE [/rosout/set_logger_level] /rosout http://pc:49817/
[rosmaster.master][INFO] 2012-12-15 17:59:27,367: +PUB [/rosout_agg] /rosout http://pc:49817/
[rosmaster.master][INFO] 2012-12-15 17:59:27,368: +SUB [/rosout] /rosout http://pc:49817/
[rosmaster.master][INFO] 2012-12-15 17:59:27,398: +PUB [/rosout] /camera/driver http://pc:59321/
[rosmaster.master][INFO] 2012-12-15 17:59:27,399: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:59321/
[rosmaster.master][INFO] 2012-12-15 17:59:27,401: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:59321/
[rosmaster.master][INFO] 2012-12-15 17:59:27,408: publisherUpdate[/rosout] -> http://pc:49817/
