[rosmaster.main][INFO] 2012-12-15 20:08:22,393: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 20:08:22,393: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 20:08:22,394: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 20:08:22,395: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 20:08:22,395: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 20:08:22,395: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 20:08:22,505: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,509: +PARAM [/roslaunch/uris/host_pc__41352] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,535: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,536: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,536: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,536: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,536: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,537: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,537: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,537: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,537: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,537: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,537: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,537: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,537: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 20:08:22,542: +SERVICE [/rosout/get_loggers] /rosout http://pc:43211/
[rosmaster.master][INFO] 2012-12-15 20:08:22,544: +SERVICE [/rosout/set_logger_level] /rosout http://pc:43211/
