[rosmaster.main][INFO] 2012-12-14 20:09:36,360: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:09:36,360: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:09:36,361: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:09:36,362: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:09:36,362: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:09:36,362: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:09:36,380: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,384: +PARAM [/roslaunch/uris/host_pc__55734] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,412: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,412: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,413: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,413: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,413: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,414: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,414: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,415: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,415: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,415: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,415: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,415: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,416: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:09:36,418: +SERVICE [/rosout/get_loggers] /rosout http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,419: +SERVICE [/rosout/set_logger_level] /rosout http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,421: +PUB [/rosout_agg] /rosout http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,422: +SUB [/rosout] /rosout http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,452: +PUB [/rosout] /camera/driver http://pc:51117/
[rosmaster.master][INFO] 2012-12-14 20:09:36,453: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:51117/
[rosmaster.master][INFO] 2012-12-14 20:09:36,454: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:51117/
[rosmaster.master][INFO] 2012-12-14 20:09:36,460: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:09:36,461: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,467: +PUB [/rosout] /camera/rgb/debayer http://pc:59951/
[rosmaster.master][INFO] 2012-12-14 20:09:36,473: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:59951/
[rosmaster.master][INFO] 2012-12-14 20:09:36,475: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:59951/
[rosmaster.master][INFO] 2012-12-14 20:09:36,486: +PUB [/rosout] /camera/rgb/rectify_color http://pc:57251/
[rosmaster.master][INFO] 2012-12-14 20:09:36,488: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:57251/
[rosmaster.master][INFO] 2012-12-14 20:09:36,490: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:57251/
[rosmaster.master][INFO] 2012-12-14 20:09:36,501: +PUB [/rosout] /camera/ir/rectify_ir http://pc:41046/
[rosmaster.master][INFO] 2012-12-14 20:09:36,506: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:56961/
[rosmaster.master][INFO] 2012-12-14 20:09:36,508: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:41046/
[rosmaster.master][INFO] 2012-12-14 20:09:36,509: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:56961/
[rosmaster.master][INFO] 2012-12-14 20:09:36,512: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:41046/
[rosmaster.master][INFO] 2012-12-14 20:09:36,514: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:56961/
[rosmaster.master][INFO] 2012-12-14 20:09:36,523: +PUB [/rosout] /camera/depth/rectify_depth http://pc:45540/
[rosmaster.master][INFO] 2012-12-14 20:09:36,536: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:45540/
[rosmaster.master][INFO] 2012-12-14 20:09:36,541: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:45540/
[rosmaster.master][INFO] 2012-12-14 20:09:36,547: +PUB [/rosout] /camera/depth/metric http://pc:39315/
[rosmaster.master][INFO] 2012-12-14 20:09:36,550: +PUB [/rosout] /camera/depth/metric_rect http://pc:38892/
[rosmaster.master][INFO] 2012-12-14 20:09:36,551: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:39315/
[rosmaster.master][INFO] 2012-12-14 20:09:36,562: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:38892/
[rosmaster.master][INFO] 2012-12-14 20:09:36,563: +PUB [/rosout] /camera/depth/points http://pc:50196/
[rosmaster.master][INFO] 2012-12-14 20:09:36,564: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,566: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,567: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,568: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,569: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,570: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,574: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,575: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,578: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:39315/
[rosmaster.master][INFO] 2012-12-14 20:09:36,581: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 20:09:36,599: +PUB [/rosout] /camera/register_depth_rgb http://pc:34454/
[rosmaster.master][INFO] 2012-12-14 20:09:36,607: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:47955/
[rosmaster.master][INFO] 2012-12-14 20:09:36,609: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:52665/
[rosmaster.master][INFO] 2012-12-14 20:09:36,611: +PUB [/rosout] /camera/depth_registered/metric http://pc:55955/
[rosmaster.master][INFO] 2012-12-14 20:09:36,613: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:34454/
[rosmaster.master][INFO] 2012-12-14 20:09:36,615: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:47955/
[rosmaster.master][INFO] 2012-12-14 20:09:36,623: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:34454/
[rosmaster.master][INFO] 2012-12-14 20:09:36,624: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:47955/
[rosmaster.master][INFO] 2012-12-14 20:09:36,631: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:52665/
[rosmaster.master][INFO] 2012-12-14 20:09:36,640: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:52665/
[rosmaster.master][INFO] 2012-12-14 20:09:36,660: +PUB [/rosout] /camera/disparity_depth http://pc:51402/
[rosmaster.master][INFO] 2012-12-14 20:09:36,665: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,665: +PUB [/rosout] /camera/disparity_depth_registered http://pc:35456/
[rosmaster.master][INFO] 2012-12-14 20:09:36,667: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,670: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,672: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,673: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,675: publisherUpdate[/rosout] -> http://pc:59285/
[rosmaster.master][INFO] 2012-12-14 20:09:36,684: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:51402/
[rosmaster.master][INFO] 2012-12-14 20:09:36,685: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:35456/
[rosmaster.master][INFO] 2012-12-14 20:09:36,696: +PUB [/rosout] /camera_base_link1 http://pc:35227/
