[rosmaster.main][INFO] 2012-12-14 14:40:26,347: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 14:40:26,347: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 14:40:26,348: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 14:40:26,349: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 14:40:26,350: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 14:40:26,350: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 14:40:26,457: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,461: +PARAM [/roslaunch/uris/host_pc__40189] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,493: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,493: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,493: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,493: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,493: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,493: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,494: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,494: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,494: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,494: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,494: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,494: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,494: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:40:26,497: +SERVICE [/rosout/get_loggers] /rosout http://pc:50090/
[rosmaster.master][INFO] 2012-12-14 14:40:26,498: +SERVICE [/rosout/set_logger_level] /rosout http://pc:50090/
[rosmaster.master][INFO] 2012-12-14 14:40:26,500: +PUB [/rosout_agg] /rosout http://pc:50090/
[rosmaster.master][INFO] 2012-12-14 14:40:26,501: +SUB [/rosout] /rosout http://pc:50090/
[rosmaster.master][INFO] 2012-12-14 14:40:26,527: +PUB [/rosout] /camera/driver http://pc:49262/
[rosmaster.master][INFO] 2012-12-14 14:40:26,528: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:49262/
[rosmaster.master][INFO] 2012-12-14 14:40:26,538: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:49262/
[rosmaster.master][INFO] 2012-12-14 14:40:26,542: +PUB [/rosout] /camera/rgb/debayer http://pc:45791/
[rosmaster.master][INFO] 2012-12-14 14:40:26,544: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:45791/
[rosmaster.master][INFO] 2012-12-14 14:40:26,547: publisherUpdate[/rosout] -> http://pc:50090/
[rosmaster.master][INFO] 2012-12-14 14:40:26,551: publisherUpdate[/rosout] -> http://pc:50090/
[rosmaster.master][INFO] 2012-12-14 14:40:26,552: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:45791/
[rosmaster.master][INFO] 2012-12-14 14:40:26,558: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 14:40:26,562: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:59654/
[rosmaster.master][INFO] 2012-12-14 14:40:26,576: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:59654/
[rosmaster.master][INFO] 2012-12-14 14:40:26,578: +PUB [/rosout] /camera/rgb/rectify_color http://pc:57247/
[rosmaster.master][INFO] 2012-12-14 14:40:26,581: +PUB [/rosout] /camera/ir/rectify_ir http://pc:45429/
[rosmaster.master][INFO] 2012-12-14 14:40:26,583: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:59654/
[rosmaster.master][INFO] 2012-12-14 14:40:26,587: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:57247/
[rosmaster.master][INFO] 2012-12-14 14:40:26,591: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:45429/
[rosmaster.master][INFO] 2012-12-14 14:40:26,599: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:57247/
[rosmaster.master][INFO] 2012-12-14 14:40:26,600: +PUB [/rosout] /camera/depth/rectify_depth http://pc:55927/
[rosmaster.master][INFO] 2012-12-14 14:40:26,604: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:45429/
[rosmaster.master][INFO] 2012-12-14 14:40:26,607: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:55927/
[rosmaster.master][INFO] 2012-12-14 14:40:26,619: +PUB [/rosout] /camera/depth/metric_rect http://pc:55996/
[rosmaster.master][INFO] 2012-12-14 14:40:26,623: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:55927/
