[rosmaster.main][INFO] 2012-12-14 20:24:05,425: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:24:05,426: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:24:05,427: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:24:05,428: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:24:05,429: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:24:05,429: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:24:05,447: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,451: +PARAM [/roslaunch/uris/host_pc__44691] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,477: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,477: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,477: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,477: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,477: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,478: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,478: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,478: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,478: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,478: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,478: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,478: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,478: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:24:05,485: +SERVICE [/rosout/get_loggers] /rosout http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,487: +SERVICE [/rosout/set_logger_level] /rosout http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,491: +PUB [/rosout_agg] /rosout http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,492: +SUB [/rosout] /rosout http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,510: +PUB [/rosout] /camera/driver http://pc:37428/
[rosmaster.master][INFO] 2012-12-14 20:24:05,512: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:37428/
[rosmaster.master][INFO] 2012-12-14 20:24:05,513: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:37428/
[rosmaster.master][INFO] 2012-12-14 20:24:05,518: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:24:05,526: +PUB [/rosout] /camera/rgb/debayer http://pc:37612/
[rosmaster.master][INFO] 2012-12-14 20:24:05,526: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,530: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,535: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:37612/
[rosmaster.master][INFO] 2012-12-14 20:24:05,537: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:37612/
[rosmaster.master][INFO] 2012-12-14 20:24:05,539: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:57962/
[rosmaster.master][INFO] 2012-12-14 20:24:05,542: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:57962/
[rosmaster.master][INFO] 2012-12-14 20:24:05,552: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:57962/
[rosmaster.master][INFO] 2012-12-14 20:24:05,557: +PUB [/rosout] /camera/rgb/rectify_color http://pc:52487/
[rosmaster.master][INFO] 2012-12-14 20:24:05,562: +PUB [/rosout] /camera/ir/rectify_ir http://pc:52377/
[rosmaster.master][INFO] 2012-12-14 20:24:05,564: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:52487/
[rosmaster.master][INFO] 2012-12-14 20:24:05,565: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:52377/
[rosmaster.master][INFO] 2012-12-14 20:24:05,568: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:52487/
[rosmaster.master][INFO] 2012-12-14 20:24:05,571: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:52377/
[rosmaster.master][INFO] 2012-12-14 20:24:05,599: +PUB [/rosout] /camera/depth/metric_rect http://pc:52749/
[rosmaster.master][INFO] 2012-12-14 20:24:05,602: +PUB [/rosout] /camera/depth/metric http://pc:43369/
[rosmaster.master][INFO] 2012-12-14 20:24:05,605: +PUB [/rosout] /camera/depth/rectify_depth http://pc:58583/
[rosmaster.master][INFO] 2012-12-14 20:24:05,606: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:52749/
[rosmaster.master][INFO] 2012-12-14 20:24:05,608: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:43369/
[rosmaster.master][INFO] 2012-12-14 20:24:05,612: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:52749/
[rosmaster.master][INFO] 2012-12-14 20:24:05,614: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:58583/
[rosmaster.master][INFO] 2012-12-14 20:24:05,616: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:43369/
[rosmaster.master][INFO] 2012-12-14 20:24:05,617: +PUB [/rosout] /camera/depth/points http://pc:56049/
[rosmaster.master][INFO] 2012-12-14 20:24:05,620: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:58583/
[rosmaster.master][INFO] 2012-12-14 20:24:05,623: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:56049/
[rosmaster.master][INFO] 2012-12-14 20:24:05,627: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,628: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,631: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,632: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,633: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,635: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,636: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,649: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:56049/
[rosmaster.master][INFO] 2012-12-14 20:24:05,656: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 20:24:05,667: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:49952/
[rosmaster.master][INFO] 2012-12-14 20:24:05,674: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:49952/
[rosmaster.master][INFO] 2012-12-14 20:24:05,676: +PUB [/rosout] /camera/depth_registered/metric http://pc:47407/
[rosmaster.master][INFO] 2012-12-14 20:24:05,681: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:49952/
[rosmaster.master][INFO] 2012-12-14 20:24:05,688: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:47407/
[rosmaster.master][INFO] 2012-12-14 20:24:05,692: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:44550/
[rosmaster.master][INFO] 2012-12-14 20:24:05,696: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:47407/
[rosmaster.master][INFO] 2012-12-14 20:24:05,706: +PUB [/rosout] /camera/disparity_depth http://pc:55927/
[rosmaster.master][INFO] 2012-12-14 20:24:05,723: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:55927/
[rosmaster.master][INFO] 2012-12-14 20:24:05,729: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,732: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,734: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,735: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,738: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:55927/
[rosmaster.master][INFO] 2012-12-14 20:24:05,746: +PUB [/rosout] /camera/disparity_depth_registered http://pc:43033/
[rosmaster.master][INFO] 2012-12-14 20:24:05,749: +PUB [/rosout] /camera_base_link http://pc:33402/
[rosmaster.master][INFO] 2012-12-14 20:24:05,762: +PUB [/rosout] /camera_base_link3 http://pc:39021/
[rosmaster.master][INFO] 2012-12-14 20:24:05,765: +PARAM [/camera/disparity_depth] by /camera/disparity_depth
[rosmaster.master][INFO] 2012-12-14 20:24:05,766: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:39021/
[rosmaster.master][INFO] 2012-12-14 20:24:05,770: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:39021/
[rosmaster.master][INFO] 2012-12-14 20:24:05,780: +PUB [/tf] /camera_base_link3 http://pc:39021/
[rosmaster.master][INFO] 2012-12-14 20:24:05,842: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,853: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,855: publisherUpdate[/rosout] -> http://pc:55827/
[rosmaster.master][INFO] 2012-12-14 20:24:05,860: +PUB [/rosout] /camera/register_depth_rgb http://pc:48065/
[rosmaster.master][INFO] 2012-12-14 20:24:05,862: +PUB [/rosout] /camera_nodelet_manager http://pc:56152/
[rosmaster.master][INFO] 2012-12-14 20:24:05,865: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:32902/
[rosmaster.master][INFO] 2012-12-14 20:24:05,866: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:48065/
[rosmaster.master][INFO] 2012-12-14 20:24:05,868: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:56152/
[rosmaster.master][INFO] 2012-12-14 20:24:05,869: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:32902/
[rosmaster.master][INFO] 2012-12-14 20:24:05,870: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:48065/
[rosmaster.master][INFO] 2012-12-14 20:24:05,871: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:32902/
[rosmaster.master][INFO] 2012-12-14 20:24:05,873: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:56152/
