[rosmaster.main][INFO] 2012-12-15 17:16:49,818: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:16:49,818: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:16:49,820: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:16:49,821: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:16:49,821: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:16:49,821: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:16:49,839: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,843: +PARAM [/roslaunch/uris/host_pc__56447] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,868: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,868: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,868: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,868: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,868: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,869: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,869: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,869: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,869: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,869: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,869: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,869: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,869: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:16:49,875: +SERVICE [/rosout/get_loggers] /rosout http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:49,876: +SERVICE [/rosout/set_logger_level] /rosout http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:49,879: +PUB [/rosout_agg] /rosout http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:49,880: +SUB [/rosout] /rosout http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:49,904: +PUB [/rosout] /camera/driver http://pc:59063/
[rosmaster.master][INFO] 2012-12-15 17:16:49,906: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:59063/
[rosmaster.master][INFO] 2012-12-15 17:16:49,908: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:59063/
[rosmaster.master][INFO] 2012-12-15 17:16:49,917: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 17:16:49,922: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:49,925: +PUB [/rosout] /camera/rgb/debayer http://pc:47712/
[rosmaster.master][INFO] 2012-12-15 17:16:49,926: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:49,929: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:47712/
[rosmaster.master][INFO] 2012-12-15 17:16:49,931: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:47712/
[rosmaster.master][INFO] 2012-12-15 17:16:49,936: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:52036/
[rosmaster.master][INFO] 2012-12-15 17:16:49,938: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:52036/
[rosmaster.master][INFO] 2012-12-15 17:16:49,943: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:52036/
[rosmaster.master][INFO] 2012-12-15 17:16:49,944: +PUB [/rosout] /camera/rgb/rectify_color http://pc:39566/
[rosmaster.master][INFO] 2012-12-15 17:16:49,955: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:39566/
[rosmaster.master][INFO] 2012-12-15 17:16:49,973: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:39566/
[rosmaster.master][INFO] 2012-12-15 17:16:49,977: +PUB [/rosout] /camera/ir/rectify_ir http://pc:42156/
[rosmaster.master][INFO] 2012-12-15 17:16:49,996: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:42156/
[rosmaster.master][INFO] 2012-12-15 17:16:50,002: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:42156/
[rosmaster.master][INFO] 2012-12-15 17:16:50,003: +PUB [/rosout] /camera/depth/rectify_depth http://pc:35702/
[rosmaster.master][INFO] 2012-12-15 17:16:50,005: +PUB [/rosout] /camera/depth/points http://pc:34166/
[rosmaster.master][INFO] 2012-12-15 17:16:50,007: +PUB [/rosout] /camera/depth/metric http://pc:34196/
[rosmaster.master][INFO] 2012-12-15 17:16:50,012: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:35702/
[rosmaster.master][INFO] 2012-12-15 17:16:50,024: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,028: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:34196/
[rosmaster.master][INFO] 2012-12-15 17:16:50,029: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,037: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,038: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,039: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,041: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,041: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:34166/
[rosmaster.master][INFO] 2012-12-15 17:16:50,042: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:35702/
[rosmaster.master][INFO] 2012-12-15 17:16:50,043: +PUB [/rosout] /camera/register_depth_rgb http://pc:60744/
[rosmaster.master][INFO] 2012-12-15 17:16:50,047: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:43095/
[rosmaster.master][INFO] 2012-12-15 17:16:50,049: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:34196/
[rosmaster.master][INFO] 2012-12-15 17:16:50,050: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:34166/
[rosmaster.master][INFO] 2012-12-15 17:16:50,052: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:60744/
[rosmaster.master][INFO] 2012-12-15 17:16:50,065: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:34775/
[rosmaster.master][INFO] 2012-12-15 17:16:50,072: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:60744/
[rosmaster.master][INFO] 2012-12-15 17:16:50,075: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:34775/
[rosmaster.master][INFO] 2012-12-15 17:16:50,081: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 17:16:50,082: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:34775/
[rosmaster.master][INFO] 2012-12-15 17:16:50,100: +PUB [/rosout] /camera/disparity_depth http://pc:47995/
[rosmaster.master][INFO] 2012-12-15 17:16:50,102: +PUB [/rosout] /camera/disparity_depth_registered http://pc:44923/
[rosmaster.master][INFO] 2012-12-15 17:16:50,105: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:47995/
[rosmaster.master][INFO] 2012-12-15 17:16:50,115: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:44923/
[rosmaster.master][INFO] 2012-12-15 17:16:50,123: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:44923/
[rosmaster.master][INFO] 2012-12-15 17:16:50,125: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,126: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:47995/
[rosmaster.master][INFO] 2012-12-15 17:16:50,126: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,131: +PUB [/rosout] /camera_base_link1 http://pc:44740/
[rosmaster.master][INFO] 2012-12-15 17:16:50,140: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,144: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,145: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,147: publisherUpdate[/rosout] -> http://pc:37561/
[rosmaster.master][INFO] 2012-12-15 17:16:50,152: +PUB [/rosout] /camera_base_link2 http://pc:53530/
