[rosmaster.main][INFO] 2012-12-14 17:18:06,341: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:18:06,341: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:18:06,342: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:18:06,343: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:18:06,343: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:18:06,344: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:18:06,364: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,368: +PARAM [/roslaunch/uris/host_pc__34222] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,392: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,393: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,393: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,393: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,394: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,395: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,395: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,395: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,395: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,396: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:06,396: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
