[rosmaster.main][INFO] 2012-12-15 18:49:59,852: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:49:59,853: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:49:59,854: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:49:59,855: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:49:59,855: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:49:59,855: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:49:59,964: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,968: +PARAM [/roslaunch/uris/host_pc__37066] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,994: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,995: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,995: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,995: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,995: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,995: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,996: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,996: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,996: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,996: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,996: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,997: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:49:59,997: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:50:00,006: +SERVICE [/rosout/get_loggers] /rosout http://pc:37856/
[rosmaster.master][INFO] 2012-12-15 18:50:00,007: +SERVICE [/rosout/set_logger_level] /rosout http://pc:37856/
[rosmaster.master][INFO] 2012-12-15 18:50:00,012: +PUB [/rosout_agg] /rosout http://pc:37856/
