[rosmaster.main][INFO] 2012-12-16 00:47:56,113: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-16 00:47:56,114: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-16 00:47:56,114: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-16 00:47:56,115: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-16 00:47:56,116: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-16 00:47:56,116: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-16 00:47:56,226: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,231: +PARAM [/roslaunch/uris/host_pc__48744] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,258: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,258: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,258: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,259: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,259: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,259: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,259: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,259: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,260: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,260: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,260: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,260: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,261: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-16 00:47:56,264: +SERVICE [/rosout/get_loggers] /rosout http://pc:60520/
[rosmaster.master][INFO] 2012-12-16 00:47:56,267: +SERVICE [/rosout/set_logger_level] /rosout http://pc:60520/
[rosmaster.master][INFO] 2012-12-16 00:47:56,271: +PUB [/rosout_agg] /rosout http://pc:60520/
[rosmaster.master][INFO] 2012-12-16 00:47:56,272: +SUB [/rosout] /rosout http://pc:60520/
[rosmaster.master][INFO] 2012-12-16 00:47:56,300: +PUB [/rosout] /camera/driver http://pc:45896/
[rosmaster.master][INFO] 2012-12-16 00:47:56,307: +PUB [/rosout] /camera/rgb/debayer http://pc:55061/
[rosmaster.master][INFO] 2012-12-16 00:47:56,309: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:55061/
[rosmaster.master][INFO] 2012-12-16 00:47:56,319: publisherUpdate[/rosout] -> http://pc:60520/
[rosmaster.master][INFO] 2012-12-16 00:47:56,331: publisherUpdate[/rosout] -> http://pc:60520/
[rosmaster.master][INFO] 2012-12-16 00:47:56,319: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:45896/
[rosmaster.master][INFO] 2012-12-16 00:47:56,333: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:55061/
[rosmaster.master][INFO] 2012-12-16 00:47:56,333: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:55324/
[rosmaster.master][INFO] 2012-12-16 00:47:56,338: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:55324/
[rosmaster.master][INFO] 2012-12-16 00:47:56,339: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:45896/
[rosmaster.master][INFO] 2012-12-16 00:47:56,344: +PUB [/rosout] /camera/rgb/rectify_color http://pc:51297/
[rosmaster.master][INFO] 2012-12-16 00:47:56,347: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:55324/
[rosmaster.master][INFO] 2012-12-16 00:47:56,352: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:51297/
[rosmaster.master][INFO] 2012-12-16 00:47:56,365: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:51297/
[rosmaster.master][INFO] 2012-12-16 00:47:56,367: +PUB [/rosout] /camera/ir/rectify_ir http://pc:48269/
[rosmaster.master][INFO] 2012-12-16 00:47:56,369: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-16 00:47:56,375: +PUB [/rosout] /camera/depth/rectify_depth http://pc:39910/
[rosmaster.master][INFO] 2012-12-16 00:47:56,387: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:48269/
