[rosmaster.main][INFO] 2012-12-15 18:07:06,533: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:07:06,533: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:07:06,534: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:07:06,534: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:07:06,534: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:07:06,534: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:07:06,640: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,645: +PARAM [/roslaunch/uris/host_pc__54338] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,669: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,669: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,669: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,669: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,669: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,669: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,670: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,670: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,670: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,670: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,670: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,670: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,670: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:07:06,677: +SERVICE [/rosout/get_loggers] /rosout http://pc:45555/
[rosmaster.master][INFO] 2012-12-15 18:07:06,679: +SERVICE [/rosout/set_logger_level] /rosout http://pc:45555/
[rosmaster.master][INFO] 2012-12-15 18:07:06,684: +PUB [/rosout_agg] /rosout http://pc:45555/
[rosmaster.master][INFO] 2012-12-15 18:07:06,686: +SUB [/rosout] /rosout http://pc:45555/
[rosmaster.master][INFO] 2012-12-15 18:07:06,706: +PUB [/rosout] /camera/driver http://pc:52578/
[rosmaster.master][INFO] 2012-12-15 18:07:06,708: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:52578/
[rosmaster.master][INFO] 2012-12-15 18:07:06,710: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:52578/
[rosmaster.master][INFO] 2012-12-15 18:07:06,715: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 18:07:06,721: +PUB [/rosout] /camera/rgb/debayer http://pc:42159/
[rosmaster.master][INFO] 2012-12-15 18:07:06,723: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:42159/
[rosmaster.master][INFO] 2012-12-15 18:07:06,733: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:42159/
[rosmaster.master][INFO] 2012-12-15 18:07:06,733: publisherUpdate[/rosout] -> http://pc:45555/
[rosmaster.master][INFO] 2012-12-15 18:07:06,741: publisherUpdate[/rosout] -> http://pc:45555/
[rosmaster.master][INFO] 2012-12-15 18:07:06,747: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:44667/
[rosmaster.master][INFO] 2012-12-15 18:07:06,756: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:44667/
[rosmaster.master][INFO] 2012-12-15 18:07:06,757: +PUB [/rosout] /camera/rgb/rectify_color http://pc:43375/
[rosmaster.master][INFO] 2012-12-15 18:07:06,764: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:44667/
[rosmaster.master][INFO] 2012-12-15 18:07:06,783: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:43375/
[rosmaster.master][INFO] 2012-12-15 18:07:06,785: +PUB [/rosout] /camera/ir/rectify_ir http://pc:41312/
[rosmaster.master][INFO] 2012-12-15 18:07:06,791: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:41312/
[rosmaster.master][INFO] 2012-12-15 18:07:06,801: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:43375/
[rosmaster.master][INFO] 2012-12-15 18:07:06,803: +PUB [/rosout] /camera/depth/rectify_depth http://pc:45716/
[rosmaster.master][INFO] 2012-12-15 18:07:06,809: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:41312/
[rosmaster.master][INFO] 2012-12-15 18:07:06,812: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:45716/
[rosmaster.master][INFO] 2012-12-15 18:07:06,820: +PUB [/rosout] /camera/depth/metric_rect http://pc:57613/
[rosmaster.master][INFO] 2012-12-15 18:07:06,831: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:57613/
[rosmaster.master][INFO] 2012-12-15 18:07:06,832: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:45716/
[rosmaster.master][INFO] 2012-12-15 18:07:06,835: publisherUpdate[/rosout] -> http://pc:45555/
[rosmaster.master][INFO] 2012-12-15 18:07:06,837: publisherUpdate[/rosout] -> http://pc:45555/
[rosmaster.master][INFO] 2012-12-15 18:07:06,839: publisherUpdate[/rosout] -> http://pc:45555/
[rosmaster.master][INFO] 2012-12-15 18:07:06,841: publisherUpdate[/rosout] -> http://pc:45555/
