[rosmaster.main][INFO] 2012-12-14 20:31:37,862: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:31:37,862: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:31:37,864: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:31:37,865: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:31:37,865: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:31:37,865: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:31:37,882: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,886: +PARAM [/roslaunch/uris/host_pc__50986] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,927: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,927: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,927: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,928: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,928: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,929: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,929: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,929: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,929: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,929: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,930: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,930: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,930: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:31:37,932: +SERVICE [/rosout/get_loggers] /rosout http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:37,933: +SERVICE [/rosout/set_logger_level] /rosout http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:37,936: +PUB [/rosout_agg] /rosout http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:37,938: +SUB [/rosout] /rosout http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:37,963: +PUB [/rosout] /camera/driver http://pc:33573/
[rosmaster.master][INFO] 2012-12-14 20:31:37,963: publisherUpdate[/rosout] -> http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:37,967: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:33573/
[rosmaster.master][INFO] 2012-12-14 20:31:37,985: +PUB [/rosout] /camera/rgb/debayer http://pc:53181/
[rosmaster.master][INFO] 2012-12-14 20:31:37,991: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:49612/
[rosmaster.master][INFO] 2012-12-14 20:31:37,992: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:33573/
[rosmaster.master][INFO] 2012-12-14 20:31:37,995: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:53181/
[rosmaster.master][INFO] 2012-12-14 20:31:37,998: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:49612/
[rosmaster.master][INFO] 2012-12-14 20:31:38,000: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:53181/
[rosmaster.master][INFO] 2012-12-14 20:31:38,002: +PUB [/rosout] /camera/rgb/rectify_color http://pc:56293/
[rosmaster.master][INFO] 2012-12-14 20:31:38,006: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:49612/
[rosmaster.master][INFO] 2012-12-14 20:31:38,009: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:56293/
[rosmaster.master][INFO] 2012-12-14 20:31:38,015: +PUB [/rosout] /camera/ir/rectify_ir http://pc:47229/
[rosmaster.master][INFO] 2012-12-14 20:31:38,018: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:56293/
[rosmaster.master][INFO] 2012-12-14 20:31:38,027: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:31:38,034: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:47229/
[rosmaster.master][INFO] 2012-12-14 20:31:38,039: +PUB [/rosout] /camera/depth/rectify_depth http://pc:54262/
[rosmaster.master][INFO] 2012-12-14 20:31:38,051: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:47229/
[rosmaster.master][INFO] 2012-12-14 20:31:38,052: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:54262/
[rosmaster.master][INFO] 2012-12-14 20:31:38,061: +PUB [/rosout] /camera/depth/metric_rect http://pc:43082/
[rosmaster.master][INFO] 2012-12-14 20:31:38,062: +PUB [/rosout] /camera/depth/metric http://pc:43049/
[rosmaster.master][INFO] 2012-12-14 20:31:38,063: publisherUpdate[/rosout] -> http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:38,067: publisherUpdate[/rosout] -> http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:38,071: publisherUpdate[/rosout] -> http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:38,072: publisherUpdate[/rosout] -> http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:38,073: publisherUpdate[/rosout] -> http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:38,074: publisherUpdate[/rosout] -> http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:38,076: publisherUpdate[/rosout] -> http://pc:53383/
[rosmaster.master][INFO] 2012-12-14 20:31:38,079: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:54262/
[rosmaster.master][INFO] 2012-12-14 20:31:38,089: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:43082/
