[rosmaster.main][INFO] 2012-12-14 17:39:50,666: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:39:50,666: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:39:50,668: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:39:50,669: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:39:50,669: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:39:50,669: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:39:50,784: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,788: +PARAM [/roslaunch/uris/host_pc__50849] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,815: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,815: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,815: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,815: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,816: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,816: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,816: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,817: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,817: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,817: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,817: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,817: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,817: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:39:50,822: +SERVICE [/rosout/get_loggers] /rosout http://pc:56112/
[rosmaster.master][INFO] 2012-12-14 17:39:50,823: +SERVICE [/rosout/set_logger_level] /rosout http://pc:56112/
[rosmaster.master][INFO] 2012-12-14 17:39:50,827: +PUB [/rosout_agg] /rosout http://pc:56112/
[rosmaster.master][INFO] 2012-12-14 17:39:50,828: +SUB [/rosout] /rosout http://pc:56112/
[rosmaster.master][INFO] 2012-12-14 17:39:50,850: +PUB [/rosout] /camera/driver http://pc:46962/
[rosmaster.master][INFO] 2012-12-14 17:39:50,853: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:46962/
[rosmaster.master][INFO] 2012-12-14 17:39:50,855: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:46962/
[rosmaster.master][INFO] 2012-12-14 17:39:50,860: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:39:50,867: publisherUpdate[/rosout] -> http://pc:56112/
[rosmaster.master][INFO] 2012-12-14 17:39:50,883: +PUB [/rosout] /camera/rgb/debayer http://pc:57399/
[rosmaster.master][INFO] 2012-12-14 17:39:50,892: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:57399/
[rosmaster.master][INFO] 2012-12-14 17:39:50,893: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:47309/
[rosmaster.master][INFO] 2012-12-14 17:39:50,895: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:57399/
[rosmaster.master][INFO] 2012-12-14 17:39:50,898: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:47309/
[rosmaster.master][INFO] 2012-12-14 17:39:50,905: +PUB [/rosout] /camera/rgb/rectify_color http://pc:34259/
[rosmaster.master][INFO] 2012-12-14 17:39:50,906: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:47309/
[rosmaster.master][INFO] 2012-12-14 17:39:50,909: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:34259/
[rosmaster.master][INFO] 2012-12-14 17:39:50,910: +PUB [/rosout] /camera/ir/rectify_ir http://pc:43471/
[rosmaster.master][INFO] 2012-12-14 17:39:50,917: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:34259/
[rosmaster.master][INFO] 2012-12-14 17:39:50,918: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:43471/
