[rosmaster.main][INFO] 2012-12-15 18:00:11,247: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:00:11,247: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:00:11,248: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:00:11,249: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:00:11,250: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:00:11,250: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:00:11,261: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,264: +PARAM [/roslaunch/uris/host_pc__43143] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,290: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,290: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,290: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,290: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,291: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,291: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,291: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,291: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,291: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,292: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,292: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,292: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,292: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:00:11,298: +SERVICE [/rosout/get_loggers] /rosout http://pc:53768/
[rosmaster.master][INFO] 2012-12-15 18:00:11,300: +SERVICE [/rosout/set_logger_level] /rosout http://pc:53768/
