[rosmaster.main][INFO] 2012-12-15 15:30:08,602: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 15:30:08,602: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 15:30:08,603: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 15:30:08,604: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 15:30:08,605: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 15:30:08,605: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 15:30:08,624: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,628: +PARAM [/roslaunch/uris/host_pc__34675] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,655: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,656: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,656: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,656: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,656: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,656: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,656: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,656: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,656: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,657: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,657: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,657: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,657: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 15:30:08,664: +SERVICE [/rosout/get_loggers] /rosout http://pc:33261/
[rosmaster.master][INFO] 2012-12-15 15:30:08,665: +SERVICE [/rosout/set_logger_level] /rosout http://pc:33261/
[rosmaster.master][INFO] 2012-12-15 15:30:08,668: +PUB [/rosout_agg] /rosout http://pc:33261/
[rosmaster.master][INFO] 2012-12-15 15:30:08,671: +SUB [/rosout] /rosout http://pc:33261/
[rosmaster.master][INFO] 2012-12-15 15:30:08,696: +PUB [/rosout] /camera/driver http://pc:49751/
[rosmaster.master][INFO] 2012-12-15 15:30:08,698: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:49751/
[rosmaster.master][INFO] 2012-12-15 15:30:08,699: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:49751/
[rosmaster.master][INFO] 2012-12-15 15:30:08,704: publisherUpdate[/rosout] -> http://pc:33261/
[rosmaster.master][INFO] 2012-12-15 15:30:08,713: +PUB [/rosout] /camera/rgb/debayer http://pc:40593/
[rosmaster.master][INFO] 2012-12-15 15:30:08,725: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:40593/
