[rosmaster.main][INFO] 2012-12-15 17:03:15,837: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:03:15,837: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:03:15,839: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:03:15,839: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:03:15,840: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:03:15,840: Master initialized: port[11311], uri[http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:03:15,951: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,955: +PARAM [/roslaunch/uris/host_pc__37444] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,981: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,981: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,981: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,982: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,989: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,990: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,990: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,990: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,990: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,991: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,991: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,991: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,991: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:03:15,994: +SERVICE [/rosout/get_loggers] /rosout http://pc:43241/
[rosmaster.master][INFO] 2012-12-15 17:03:15,995: +SERVICE [/rosout/set_logger_level] /rosout http://pc:43241/
[rosmaster.master][INFO] 2012-12-15 17:03:15,998: +PUB [/rosout_agg] /rosout http://pc:43241/
[rosmaster.master][INFO] 2012-12-15 17:03:15,999: +SUB [/rosout] /rosout http://pc:43241/
[rosmaster.master][INFO] 2012-12-15 17:03:16,037: +PUB [/rosout] /camera/driver http://pc:39697/
[rosmaster.master][INFO] 2012-12-15 17:03:16,038: publisherUpdate[/rosout] -> http://pc:43241/
[rosmaster.master][INFO] 2012-12-15 17:03:16,044: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:39697/
[rosmaster.master][INFO] 2012-12-15 17:03:16,047: +PUB [/rosout] /camera/rgb/debayer http://pc:57700/
[rosmaster.master][INFO] 2012-12-15 17:03:16,048: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:39697/
[rosmaster.master][INFO] 2012-12-15 17:03:16,050: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:57700/
[rosmaster.master][INFO] 2012-12-15 17:03:16,059: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:57700/
[rosmaster.master][INFO] 2012-12-15 17:03:16,063: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 17:03:16,066: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:49978/
[rosmaster.master][INFO] 2012-12-15 17:03:16,067: +PUB [/rosout] /camera/rgb/rectify_color http://pc:51796/
[rosmaster.master][INFO] 2012-12-15 17:03:16,071: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:49978/
[rosmaster.master][INFO] 2012-12-15 17:03:16,072: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:51796/
[rosmaster.master][INFO] 2012-12-15 17:03:16,076: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:49978/
[rosmaster.master][INFO] 2012-12-15 17:03:16,077: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:51796/
