[rosmaster.main][INFO] 2012-12-14 16:35:49,449: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 16:35:49,449: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 16:35:49,450: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 16:35:49,451: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 16:35:49,451: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 16:35:49,452: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 16:35:49,470: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,474: +PARAM [/roslaunch/uris/host_pc__50279] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,503: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,504: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,504: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,504: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,504: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,504: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,504: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,504: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,504: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,505: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,505: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,505: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,506: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 16:35:49,507: +SERVICE [/rosout/get_loggers] /rosout http://pc:59453/
[rosmaster.master][INFO] 2012-12-14 16:35:49,508: +SERVICE [/rosout/set_logger_level] /rosout http://pc:59453/
[rosmaster.master][INFO] 2012-12-14 16:35:49,510: +PUB [/rosout_agg] /rosout http://pc:59453/
