[rosmaster.main][INFO] 2012-12-15 17:53:24,591: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:53:24,592: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:53:24,593: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 17:53:24,594: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 17:53:24,594: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:53:24,594: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:53:24,708: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,713: +PARAM [/roslaunch/uris/host_pc__33272] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,741: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,741: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,741: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,742: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,742: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,743: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,743: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,743: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,743: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,743: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,743: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,744: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,744: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:53:24,745: +SERVICE [/rosout/get_loggers] /rosout http://pc:36919/
[rosmaster.master][INFO] 2012-12-15 17:53:24,747: +SERVICE [/rosout/set_logger_level] /rosout http://pc:36919/
[rosmaster.master][INFO] 2012-12-15 17:53:24,751: +PUB [/rosout_agg] /rosout http://pc:36919/
[rosmaster.master][INFO] 2012-12-15 17:53:24,752: +SUB [/rosout] /rosout http://pc:36919/
[rosmaster.master][INFO] 2012-12-15 17:53:24,788: +PUB [/rosout] /camera/driver http://pc:49186/
[rosmaster.master][INFO] 2012-12-15 17:53:24,791: +PUB [/rosout] /camera/rgb/debayer http://pc:56293/
[rosmaster.master][INFO] 2012-12-15 17:53:24,792: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:49186/
[rosmaster.master][INFO] 2012-12-15 17:53:24,793: publisherUpdate[/rosout] -> http://pc:36919/
[rosmaster.master][INFO] 2012-12-15 17:53:24,793: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:56293/
[rosmaster.master][INFO] 2012-12-15 17:53:24,796: publisherUpdate[/rosout] -> http://pc:36919/
[rosmaster.master][INFO] 2012-12-15 17:53:24,797: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:49186/
[rosmaster.master][INFO] 2012-12-15 17:53:24,798: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:56293/
[rosmaster.master][INFO] 2012-12-15 17:53:24,804: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 17:53:24,821: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:33091/
[rosmaster.master][INFO] 2012-12-15 17:53:24,823: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:33091/
[rosmaster.master][INFO] 2012-12-15 17:53:24,826: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:33091/
