[rosmaster.main][INFO] 2012-12-14 17:40:18,840: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:40:18,840: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:40:18,842: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:40:18,843: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:40:18,843: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:40:18,843: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:40:18,862: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,866: +PARAM [/roslaunch/uris/host_pc__47135] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,899: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,900: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,900: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,900: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,900: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,900: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,900: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,900: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,900: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,900: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,901: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,901: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,901: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:40:18,913: +SERVICE [/rosout/get_loggers] /rosout http://pc:59763/
[rosmaster.master][INFO] 2012-12-14 17:40:18,915: +SERVICE [/rosout/set_logger_level] /rosout http://pc:59763/
[rosmaster.master][INFO] 2012-12-14 17:40:18,923: +PUB [/rosout_agg] /rosout http://pc:59763/
[rosmaster.master][INFO] 2012-12-14 17:40:18,925: +SUB [/rosout] /rosout http://pc:59763/
[rosmaster.master][INFO] 2012-12-14 17:40:18,937: +PUB [/rosout] /camera/driver http://pc:32945/
[rosmaster.master][INFO] 2012-12-14 17:40:18,939: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:32945/
[rosmaster.master][INFO] 2012-12-14 17:40:18,940: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:32945/
[rosmaster.master][INFO] 2012-12-14 17:40:18,941: publisherUpdate[/rosout] -> http://pc:59763/
[rosmaster.master][INFO] 2012-12-14 17:40:18,948: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:40:18,956: +PUB [/rosout] /camera/rgb/debayer http://pc:35868/
[rosmaster.master][INFO] 2012-12-14 17:40:18,964: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:35868/
[rosmaster.master][INFO] 2012-12-14 17:40:18,968: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:35868/
[rosmaster.master][INFO] 2012-12-14 17:40:18,971: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:33521/
[rosmaster.master][INFO] 2012-12-14 17:40:18,975: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:33521/
[rosmaster.master][INFO] 2012-12-14 17:40:18,982: +PUB [/rosout] /camera/rgb/rectify_color http://pc:58840/
[rosmaster.master][INFO] 2012-12-14 17:40:18,985: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:58840/
[rosmaster.master][INFO] 2012-12-14 17:40:18,986: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:33521/
[rosmaster.master][INFO] 2012-12-14 17:40:18,994: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:58840/
[rosmaster.master][INFO] 2012-12-14 17:40:19,010: +PUB [/rosout] /camera/ir/rectify_ir http://pc:49959/
[rosmaster.master][INFO] 2012-12-14 17:40:19,016: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:49959/
[rosmaster.master][INFO] 2012-12-14 17:40:19,027: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:49959/
[rosmaster.master][INFO] 2012-12-14 17:40:19,033: +PUB [/rosout] /camera/depth/metric_rect http://pc:47798/
[rosmaster.master][INFO] 2012-12-14 17:40:19,050: publisherUpdate[/rosout] -> http://pc:59763/
[rosmaster.master][INFO] 2012-12-14 17:40:19,052: publisherUpdate[/rosout] -> http://pc:59763/
[rosmaster.master][INFO] 2012-12-14 17:40:19,055: publisherUpdate[/rosout] -> http://pc:59763/
[rosmaster.master][INFO] 2012-12-14 17:40:19,057: publisherUpdate[/rosout] -> http://pc:59763/
[rosmaster.master][INFO] 2012-12-14 17:40:19,061: publisherUpdate[/rosout] -> http://pc:59763/
[rosmaster.master][INFO] 2012-12-14 17:40:19,068: +PUB [/rosout] /camera/depth/rectify_depth http://pc:49682/
[rosmaster.master][INFO] 2012-12-14 17:40:19,070: publisherUpdate[/rosout] -> http://pc:59763/
