[rosmaster.main][INFO] 2012-12-14 21:00:46,404: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 21:00:46,404: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 21:00:46,406: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 21:00:46,407: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 21:00:46,407: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 21:00:46,408: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 21:00:46,521: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,525: +PARAM [/roslaunch/uris/host_pc__36848] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,550: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,550: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,550: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,551: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,551: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,551: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,551: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,552: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,552: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,552: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,552: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,552: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,553: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 21:00:46,557: +SERVICE [/rosout/get_loggers] /rosout http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,558: +SERVICE [/rosout/set_logger_level] /rosout http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,561: +PUB [/rosout_agg] /rosout http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,563: +SUB [/rosout] /rosout http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,588: +PUB [/rosout] /camera/driver http://pc:49978/
[rosmaster.master][INFO] 2012-12-14 21:00:46,590: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:49978/
[rosmaster.master][INFO] 2012-12-14 21:00:46,591: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:49978/
[rosmaster.master][INFO] 2012-12-14 21:00:46,603: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 21:00:46,605: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,611: +PUB [/rosout] /camera/rgb/debayer http://pc:60309/
[rosmaster.master][INFO] 2012-12-14 21:00:46,613: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:60309/
[rosmaster.master][INFO] 2012-12-14 21:00:46,614: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,617: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:60309/
[rosmaster.master][INFO] 2012-12-14 21:00:46,621: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:59436/
[rosmaster.master][INFO] 2012-12-14 21:00:46,623: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:59436/
[rosmaster.master][INFO] 2012-12-14 21:00:46,624: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:59436/
[rosmaster.master][INFO] 2012-12-14 21:00:46,652: +PUB [/rosout] /camera/ir/rectify_ir http://pc:42466/
[rosmaster.master][INFO] 2012-12-14 21:00:46,658: +PUB [/rosout] /camera/rgb/rectify_color http://pc:45689/
[rosmaster.master][INFO] 2012-12-14 21:00:46,660: +PUB [/rosout] /camera/depth/rectify_depth http://pc:50183/
[rosmaster.master][INFO] 2012-12-14 21:00:46,664: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:42466/
[rosmaster.master][INFO] 2012-12-14 21:00:46,666: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:45689/
[rosmaster.master][INFO] 2012-12-14 21:00:46,670: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:50183/
[rosmaster.master][INFO] 2012-12-14 21:00:46,675: +PUB [/rosout] /camera/depth/metric_rect http://pc:59969/
[rosmaster.master][INFO] 2012-12-14 21:00:46,677: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:42466/
[rosmaster.master][INFO] 2012-12-14 21:00:46,679: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:50183/
[rosmaster.master][INFO] 2012-12-14 21:00:46,680: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:45689/
[rosmaster.master][INFO] 2012-12-14 21:00:46,681: +PUB [/rosout] /camera/depth/metric http://pc:38359/
[rosmaster.master][INFO] 2012-12-14 21:00:46,688: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:59969/
[rosmaster.master][INFO] 2012-12-14 21:00:46,696: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:59969/
[rosmaster.master][INFO] 2012-12-14 21:00:46,698: +PUB [/rosout] /camera/depth/points http://pc:37455/
[rosmaster.master][INFO] 2012-12-14 21:00:46,708: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,712: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,713: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:37455/
[rosmaster.master][INFO] 2012-12-14 21:00:46,717: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,725: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,726: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,728: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,730: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,735: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:41298/
[rosmaster.master][INFO] 2012-12-14 21:00:46,747: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:37455/
[rosmaster.master][INFO] 2012-12-14 21:00:46,756: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 21:00:46,759: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:52073/
[rosmaster.master][INFO] 2012-12-14 21:00:46,761: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:41298/
[rosmaster.master][INFO] 2012-12-14 21:00:46,767: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:55947/
[rosmaster.master][INFO] 2012-12-14 21:00:46,769: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:52073/
[rosmaster.master][INFO] 2012-12-14 21:00:46,773: +PUB [/rosout] /camera/disparity_depth_registered http://pc:35619/
[rosmaster.master][INFO] 2012-12-14 21:00:46,775: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:41298/
[rosmaster.master][INFO] 2012-12-14 21:00:46,782: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:55947/
[rosmaster.master][INFO] 2012-12-14 21:00:46,785: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:52073/
[rosmaster.master][INFO] 2012-12-14 21:00:46,788: +PUB [/rosout] /camera_base_link http://pc:45188/
[rosmaster.master][INFO] 2012-12-14 21:00:46,789: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:35619/
[rosmaster.master][INFO] 2012-12-14 21:00:46,799: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:45188/
[rosmaster.master][INFO] 2012-12-14 21:00:46,801: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:35619/
[rosmaster.master][INFO] 2012-12-14 21:00:46,808: +SERVICE [/camera_base_link/set_logger_level] /camera_base_link http://pc:45188/
[rosmaster.master][INFO] 2012-12-14 21:00:46,810: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,811: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,812: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-14 21:00:46,813: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,814: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,816: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,816: +PUB [/rosout] /camera_base_link3 http://pc:58799/
[rosmaster.master][INFO] 2012-12-14 21:00:46,817: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,828: +PUB [/tf] /camera_base_link http://pc:45188/
[rosmaster.master][INFO] 2012-12-14 21:00:46,829: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:58799/
[rosmaster.master][INFO] 2012-12-14 21:00:46,831: +PARAM [/camera/disparity_depth_registered] by /camera/disparity_depth_registered
[rosmaster.master][INFO] 2012-12-14 21:00:46,838: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:58799/
[rosmaster.master][INFO] 2012-12-14 21:00:46,853: +PUB [/tf] /camera_base_link3 http://pc:58799/
[rosmaster.master][INFO] 2012-12-14 21:00:46,906: +PUB [/rosout] /camera/register_depth_rgb http://pc:59977/
[rosmaster.master][INFO] 2012-12-14 21:00:46,907: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:59977/
[rosmaster.master][INFO] 2012-12-14 21:00:46,911: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:59977/
[rosmaster.master][INFO] 2012-12-14 21:00:46,917: +PUB [/rosout] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:46,918: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,921: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:46,929: +SERVICE [/camera_nodelet_manager/get_loggers] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:46,934: +SERVICE [/camera_nodelet_manager/set_logger_level] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:46,940: +SERVICE [/camera_nodelet_manager/load_nodelet] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:46,942: +SERVICE [/camera_nodelet_manager/unload_nodelet] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:46,944: +SERVICE [/camera_nodelet_manager/list] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:47,217: +PUB [/rosout] /set_dr http://pc:33980/
[rosmaster.master][INFO] 2012-12-14 21:00:47,220: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:47,629: +PUB [/rosout] /depth_detection http://pc:45792/
[rosmaster.master][INFO] 2012-12-14 21:00:47,639: publisherUpdate[/rosout] -> http://pc:38083/
[rosmaster.master][INFO] 2012-12-14 21:00:47,667: +SUB [/camera/depth_registered/image_rect] /depth_detection http://pc:45792/
[rosmaster.master][INFO] 2012-12-14 21:00:47,670: +SUB [/camera/rgb/image_rect_color] /depth_detection http://pc:45792/
[rosmaster.master][INFO] 2012-12-14 21:00:47,729: +PUB [/camera/depth/image_rect/compressed] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:47,730: +SERVICE [/camera/depth/image_rect/compressed/set_parameters] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:47,743: +PUB [/camera/depth/image_rect/compressed/parameter_descriptions] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:47,744: +PUB [/camera/depth/image_rect/compressed/parameter_updates] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:47,750: +PARAM [/camera/depth/image_rect/compressed/format] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 21:00:47,751: +PARAM [/camera/depth/image_rect/compressed/jpeg_quality] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 21:00:47,752: +PARAM [/camera/depth/image_rect/compressed/png_level] by /camera_nodelet_manager
[rosmaster.master][INFO] 2012-12-14 21:00:47,754: +PUB [/camera/depth/image_rect] /camera_nodelet_manager http://pc:46990/
[rosmaster.master][INFO] 2012-12-14 21:00:47,759: +PUB [/camera/depth/image_rect/theora] /camera_nodelet_manager http://pc:46990/
