[rosmaster.main][INFO] 2012-12-14 20:32:09,943: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:32:09,943: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:32:09,945: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:32:09,946: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:32:09,946: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:32:09,946: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:32:10,053: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,057: +PARAM [/roslaunch/uris/host_pc__43743] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,092: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,093: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,093: +SERVICE [/rosout/get_loggers] /rosout http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,093: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,095: +SERVICE [/rosout/set_logger_level] /rosout http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,095: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,097: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,097: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,098: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,098: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,100: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,100: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,100: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,100: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,100: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:32:10,101: +PUB [/rosout_agg] /rosout http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,103: +SUB [/rosout] /rosout http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,144: +PUB [/rosout] /camera/driver http://pc:51244/
[rosmaster.master][INFO] 2012-12-14 20:32:10,144: publisherUpdate[/rosout] -> http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,155: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:51244/
[rosmaster.master][INFO] 2012-12-14 20:32:10,156: +PUB [/rosout] /camera/rgb/debayer http://pc:37345/
[rosmaster.master][INFO] 2012-12-14 20:32:10,158: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:37345/
[rosmaster.master][INFO] 2012-12-14 20:32:10,159: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:51244/
[rosmaster.master][INFO] 2012-12-14 20:32:10,161: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:37345/
[rosmaster.master][INFO] 2012-12-14 20:32:10,168: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:37673/
[rosmaster.master][INFO] 2012-12-14 20:32:10,173: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:37673/
[rosmaster.master][INFO] 2012-12-14 20:32:10,175: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:32:10,176: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:37673/
[rosmaster.master][INFO] 2012-12-14 20:32:10,192: +PUB [/rosout] /camera/ir/rectify_ir http://pc:54740/
[rosmaster.master][INFO] 2012-12-14 20:32:10,194: +PUB [/rosout] /camera/rgb/rectify_color http://pc:42796/
[rosmaster.master][INFO] 2012-12-14 20:32:10,197: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:54740/
[rosmaster.master][INFO] 2012-12-14 20:32:10,199: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:42796/
[rosmaster.master][INFO] 2012-12-14 20:32:10,213: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:54740/
[rosmaster.master][INFO] 2012-12-14 20:32:10,214: +PUB [/rosout] /camera/depth/rectify_depth http://pc:56095/
[rosmaster.master][INFO] 2012-12-14 20:32:10,219: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:42796/
[rosmaster.master][INFO] 2012-12-14 20:32:10,226: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:56095/
[rosmaster.master][INFO] 2012-12-14 20:32:10,233: +PUB [/rosout] /camera/depth/metric_rect http://pc:56326/
[rosmaster.master][INFO] 2012-12-14 20:32:10,236: +PUB [/rosout] /camera/depth/metric http://pc:56800/
[rosmaster.master][INFO] 2012-12-14 20:32:10,238: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:56095/
[rosmaster.master][INFO] 2012-12-14 20:32:10,241: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:56326/
[rosmaster.master][INFO] 2012-12-14 20:32:10,249: publisherUpdate[/rosout] -> http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,250: publisherUpdate[/rosout] -> http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,251: publisherUpdate[/rosout] -> http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,253: publisherUpdate[/rosout] -> http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,255: publisherUpdate[/rosout] -> http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,256: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:56800/
[rosmaster.master][INFO] 2012-12-14 20:32:10,258: publisherUpdate[/rosout] -> http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,263: publisherUpdate[/rosout] -> http://pc:41629/
[rosmaster.master][INFO] 2012-12-14 20:32:10,271: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:56326/
[rosmaster.master][INFO] 2012-12-14 20:32:10,280: +PUB [/rosout] /camera/depth/points http://pc:45463/
[rosmaster.master][INFO] 2012-12-14 20:32:10,285: +PUB [/rosout] /camera/register_depth_rgb http://pc:54817/
[rosmaster.master][INFO] 2012-12-14 20:32:10,289: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:51322/
[rosmaster.master][INFO] 2012-12-14 20:32:10,291: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:45463/
[rosmaster.master][INFO] 2012-12-14 20:32:10,293: +PUB [/rosout] /camera/depth_registered/metric http://pc:44930/
[rosmaster.master][INFO] 2012-12-14 20:32:10,295: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:54817/
[rosmaster.master][INFO] 2012-12-14 20:32:10,296: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:51322/
[rosmaster.master][INFO] 2012-12-14 20:32:10,300: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:45463/
[rosmaster.master][INFO] 2012-12-14 20:32:10,301: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:44930/
[rosmaster.master][INFO] 2012-12-14 20:32:10,303: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:35463/
[rosmaster.master][INFO] 2012-12-14 20:32:10,304: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:54817/
[rosmaster.master][INFO] 2012-12-14 20:32:10,306: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:51322/
[rosmaster.master][INFO] 2012-12-14 20:32:10,308: +PUB [/rosout] /camera/disparity_depth http://pc:47496/
[rosmaster.master][INFO] 2012-12-14 20:32:10,312: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:44930/
[rosmaster.master][INFO] 2012-12-14 20:32:10,315: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:35463/
[rosmaster.master][INFO] 2012-12-14 20:32:10,326: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:47496/
