[rosmaster.main][INFO] 2012-12-14 20:39:20,328: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:39:20,328: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:39:20,330: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:39:20,331: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:39:20,331: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:39:20,332: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:39:20,347: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,350: +PARAM [/roslaunch/uris/host_pc__35130] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,371: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,371: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,371: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,371: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,371: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,371: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,371: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,372: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,372: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,372: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,372: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,372: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:20,372: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:39:21,092: +PUB [/rosout] /set_dr http://pc:58144/
[rosmaster.master][INFO] 2012-12-14 20:39:22,145: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:45411/
[rosmaster.master][INFO] 2012-12-14 20:39:22,153: +PUB [/rosout] /camera/rgb/debayer http://pc:59264/
[rosmaster.master][INFO] 2012-12-14 20:39:22,154: +PUB [/rosout] /camera/depth/rectify_depth http://pc:33994/
[rosmaster.master][INFO] 2012-12-14 20:39:22,155: +PUB [/rosout] /camera_base_link3 http://pc:59547/
[rosmaster.master][INFO] 2012-12-14 20:39:22,156: +PUB [/rosout] /camera/disparity_depth http://pc:49117/
[rosmaster.master][INFO] 2012-12-14 20:39:22,158: +PUB [/rosout] /camera/depth/metric_rect http://pc:59358/
[rosmaster.master][INFO] 2012-12-14 20:39:22,159: +PUB [/rosout] /camera/depth/metric http://pc:41701/
[rosmaster.master][INFO] 2012-12-14 20:39:22,161: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:33994/
[rosmaster.master][INFO] 2012-12-14 20:39:22,162: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:59264/
[rosmaster.master][INFO] 2012-12-14 20:39:22,163: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:59547/
[rosmaster.master][INFO] 2012-12-14 20:39:22,164: +SERVICE [/camera/disparity_depth/get_loggers] /camera/disparity_depth http://pc:49117/
[rosmaster.master][INFO] 2012-12-14 20:39:22,165: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:59358/
[rosmaster.master][INFO] 2012-12-14 20:39:22,166: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:60800/
[rosmaster.master][INFO] 2012-12-14 20:39:22,167: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:41701/
[rosmaster.master][INFO] 2012-12-14 20:39:22,168: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:33994/
[rosmaster.master][INFO] 2012-12-14 20:39:22,169: +SERVICE [/camera_base_link3/set_logger_level] /camera_base_link3 http://pc:59547/
[rosmaster.master][INFO] 2012-12-14 20:39:22,170: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:59264/
[rosmaster.master][INFO] 2012-12-14 20:39:22,172: +SERVICE [/camera/disparity_depth/set_logger_level] /camera/disparity_depth http://pc:49117/
[rosmaster.master][INFO] 2012-12-14 20:39:22,172: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:59358/
[rosmaster.master][INFO] 2012-12-14 20:39:22,174: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:60800/
[rosmaster.master][INFO] 2012-12-14 20:39:22,174: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:41701/
[rosmaster.master][INFO] 2012-12-14 20:39:22,180: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:60800/
[rosmaster.master][INFO] 2012-12-14 20:39:22,181: +PUB [/tf] /camera_base_link3 http://pc:59547/
[rosmaster.master][INFO] 2012-12-14 20:39:22,186: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 20:39:22,189: +PARAM [/camera/disparity_depth] by /camera/disparity_depth
[rosmaster.master][INFO] 2012-12-14 20:39:22,356: +PUB [/rosout] /camera_base_link1 http://pc:39533/
[rosmaster.master][INFO] 2012-12-14 20:39:22,358: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:39533/
[rosmaster.master][INFO] 2012-12-14 20:39:22,360: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:39533/
[rosmaster.master][INFO] 2012-12-14 20:39:22,361: +SERVICE [/rosout/get_loggers] /rosout http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:22,364: +PUB [/tf] /camera_base_link1 http://pc:39533/
[rosmaster.master][INFO] 2012-12-14 20:39:22,365: +SERVICE [/rosout/set_logger_level] /rosout http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:22,374: +PUB [/rosout_agg] /rosout http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:22,376: +SUB [/rosout] /rosout http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:25,142: +PUB [/rosout] /camera/driver http://pc:51902/
[rosmaster.master][INFO] 2012-12-14 20:39:25,148: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:51902/
[rosmaster.master][INFO] 2012-12-14 20:39:25,149: +PUB [/rosout] /camera_base_link http://pc:48221/
[rosmaster.master][INFO] 2012-12-14 20:39:25,151: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:48742/
[rosmaster.master][INFO] 2012-12-14 20:39:25,153: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:51902/
[rosmaster.master][INFO] 2012-12-14 20:39:25,157: +PUB [/rosout] /camera/rgb/rectify_color http://pc:38250/
[rosmaster.master][INFO] 2012-12-14 20:39:25,158: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:45411/
[rosmaster.master][INFO] 2012-12-14 20:39:25,159: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:48742/
[rosmaster.master][INFO] 2012-12-14 20:39:25,161: +PUB [/rosout] /camera_base_link2 http://pc:38341/
[rosmaster.master][INFO] 2012-12-14 20:39:25,162: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:34996/
[rosmaster.master][INFO] 2012-12-14 20:39:25,162: +PUB [/rosout] /camera/depth_registered/metric http://pc:36717/
[rosmaster.master][INFO] 2012-12-14 20:39:25,164: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:45411/
[rosmaster.master][INFO] 2012-12-14 20:39:25,165: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:48742/
[rosmaster.master][INFO] 2012-12-14 20:39:25,167: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:38341/
[rosmaster.master][INFO] 2012-12-14 20:39:25,168: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:34996/
[rosmaster.master][INFO] 2012-12-14 20:39:25,169: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:36717/
[rosmaster.master][INFO] 2012-12-14 20:39:25,170: +PUB [/rosout] /camera/register_depth_rgb http://pc:59856/
[rosmaster.master][INFO] 2012-12-14 20:39:25,172: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:39:25,175: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:38341/
[rosmaster.master][INFO] 2012-12-14 20:39:25,176: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:34996/
[rosmaster.master][INFO] 2012-12-14 20:39:25,178: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:59856/
[rosmaster.master][INFO] 2012-12-14 20:39:25,183: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:59856/
[rosmaster.master][INFO] 2012-12-14 20:39:25,183: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-14 20:39:25,185: +PUB [/tf] /camera_base_link2 http://pc:38341/
[rosmaster.master][INFO] 2012-12-14 20:39:25,239: publisherUpdate[/rosout] -> http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:25,243: publisherUpdate[/rosout] -> http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:25,244: publisherUpdate[/rosout] -> http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:25,245: publisherUpdate[/rosout] -> http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:25,247: publisherUpdate[/rosout] -> http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:25,248: publisherUpdate[/rosout] -> http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:25,249: publisherUpdate[/rosout] -> http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:25,250: publisherUpdate[/rosout] -> http://pc:57179/
[rosmaster.master][INFO] 2012-12-14 20:39:25,472: +PUB [/rosout] /camera/ir/rectify_ir http://pc:56177/
[rosmaster.master][INFO] 2012-12-14 20:39:25,474: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:56177/
