[rosmaster.main][INFO] 2012-12-15 17:10:33,539: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 17:10:33,539: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 17:10:33,540: XML-RPC server binding to 0.0.0.0
[rosmaster.master][INFO] 2012-12-15 17:10:33,541: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:10:33,541: Started XML-RPC server [http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 17:10:33,541: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 17:10:33,563: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,567: +PARAM [/roslaunch/uris/host_pc__43843] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,595: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,595: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,595: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,595: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,595: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,596: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,596: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,596: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,596: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,596: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,597: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 17:10:33,597: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
