[rosmaster.main][INFO] 2012-12-14 17:33:13,613: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:33:13,613: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:33:13,615: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:33:13,616: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:33:13,616: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:33:13,617: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:33:13,630: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,634: +PARAM [/roslaunch/uris/host_pc__58774] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,663: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,663: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,663: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,664: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,664: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,664: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,664: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,664: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,665: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,665: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,665: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,665: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,665: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:33:13,674: +SERVICE [/rosout/get_loggers] /rosout http://pc:42435/
[rosmaster.master][INFO] 2012-12-14 17:33:13,675: +SERVICE [/rosout/set_logger_level] /rosout http://pc:42435/
[rosmaster.master][INFO] 2012-12-14 17:33:13,677: +PUB [/rosout_agg] /rosout http://pc:42435/
[rosmaster.master][INFO] 2012-12-14 17:33:13,679: +SUB [/rosout] /rosout http://pc:42435/
[rosmaster.master][INFO] 2012-12-14 17:33:13,704: +PUB [/rosout] /camera/driver http://pc:59227/
[rosmaster.master][INFO] 2012-12-14 17:33:13,711: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:59227/
[rosmaster.master][INFO] 2012-12-14 17:33:13,712: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:59227/
[rosmaster.master][INFO] 2012-12-14 17:33:13,715: publisherUpdate[/rosout] -> http://pc:42435/
[rosmaster.master][INFO] 2012-12-14 17:33:13,719: +PUB [/rosout] /camera/rgb/debayer http://pc:44294/
[rosmaster.master][INFO] 2012-12-14 17:33:13,722: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:44294/
[rosmaster.master][INFO] 2012-12-14 17:33:13,725: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:47722/
[rosmaster.master][INFO] 2012-12-14 17:33:13,726: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:33:13,728: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:44294/
[rosmaster.master][INFO] 2012-12-14 17:33:13,729: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:47722/
[rosmaster.master][INFO] 2012-12-14 17:33:13,740: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:47722/
[rosmaster.master][INFO] 2012-12-14 17:33:13,754: +PUB [/rosout] /camera/rgb/rectify_color http://pc:55368/
[rosmaster.master][INFO] 2012-12-14 17:33:13,766: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:55368/
[rosmaster.master][INFO] 2012-12-14 17:33:13,769: +PUB [/rosout] /camera/ir/rectify_ir http://pc:37522/
[rosmaster.master][INFO] 2012-12-14 17:33:13,772: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:55368/
[rosmaster.master][INFO] 2012-12-14 17:33:13,773: +PUB [/rosout] /camera/depth/rectify_depth http://pc:52195/
[rosmaster.master][INFO] 2012-12-14 17:33:13,775: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:37522/
[rosmaster.master][INFO] 2012-12-14 17:33:13,786: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:52195/
[rosmaster.master][INFO] 2012-12-14 17:33:13,788: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:37522/
[rosmaster.master][INFO] 2012-12-14 17:33:13,794: +PUB [/rosout] /camera/depth/metric_rect http://pc:45806/
[rosmaster.master][INFO] 2012-12-14 17:33:13,802: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:52195/
[rosmaster.master][INFO] 2012-12-14 17:33:13,807: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:45806/
[rosmaster.master][INFO] 2012-12-14 17:33:13,816: +PUB [/rosout] /camera/depth/metric http://pc:33156/
[rosmaster.master][INFO] 2012-12-14 17:33:13,824: publisherUpdate[/rosout] -> http://pc:42435/
