[rosmaster.main][INFO] 2012-12-14 20:53:42,385: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:53:42,385: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:53:42,386: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:53:42,387: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:53:42,387: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:53:42,387: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:53:42,402: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,406: +PARAM [/roslaunch/uris/host_pc__37852] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,437: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,438: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,438: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,438: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,438: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,439: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,439: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,439: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,439: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,439: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,440: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,441: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,441: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:53:42,442: +SERVICE [/rosout/get_loggers] /rosout http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,444: +SERVICE [/rosout/set_logger_level] /rosout http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,447: +PUB [/rosout_agg] /rosout http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,448: +SUB [/rosout] /rosout http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,476: +PUB [/rosout] /camera/driver http://pc:47405/
[rosmaster.master][INFO] 2012-12-14 20:53:42,477: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:47405/
[rosmaster.master][INFO] 2012-12-14 20:53:42,479: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:47405/
[rosmaster.master][INFO] 2012-12-14 20:53:42,485: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,488: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:53:42,495: +PUB [/rosout] /camera/rgb/debayer http://pc:57625/
[rosmaster.master][INFO] 2012-12-14 20:53:42,496: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:57625/
[rosmaster.master][INFO] 2012-12-14 20:53:42,498: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:57625/
[rosmaster.master][INFO] 2012-12-14 20:53:42,503: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:35805/
[rosmaster.master][INFO] 2012-12-14 20:53:42,506: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:35805/
[rosmaster.master][INFO] 2012-12-14 20:53:42,508: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:35805/
[rosmaster.master][INFO] 2012-12-14 20:53:42,524: +PUB [/rosout] /camera/rgb/rectify_color http://pc:37397/
[rosmaster.master][INFO] 2012-12-14 20:53:42,534: +PUB [/rosout] /camera/ir/rectify_ir http://pc:57714/
[rosmaster.master][INFO] 2012-12-14 20:53:42,535: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:37397/
[rosmaster.master][INFO] 2012-12-14 20:53:42,540: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:37397/
[rosmaster.master][INFO] 2012-12-14 20:53:42,541: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:57714/
[rosmaster.master][INFO] 2012-12-14 20:53:42,546: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:57714/
[rosmaster.master][INFO] 2012-12-14 20:53:42,553: +PUB [/rosout] /camera/depth/rectify_depth http://pc:57015/
[rosmaster.master][INFO] 2012-12-14 20:53:42,565: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:57015/
[rosmaster.master][INFO] 2012-12-14 20:53:42,583: +PUB [/rosout] /camera/depth/metric http://pc:43065/
[rosmaster.master][INFO] 2012-12-14 20:53:42,590: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,592: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,593: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,594: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,596: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,597: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,598: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:57015/
[rosmaster.master][INFO] 2012-12-14 20:53:42,602: +PUB [/rosout] /camera/depth/metric_rect http://pc:44879/
[rosmaster.master][INFO] 2012-12-14 20:53:42,608: +PUB [/rosout] /camera/depth/points http://pc:55161/
[rosmaster.master][INFO] 2012-12-14 20:53:42,610: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:44879/
[rosmaster.master][INFO] 2012-12-14 20:53:42,613: +PUB [/rosout] /camera/register_depth_rgb http://pc:51291/
[rosmaster.master][INFO] 2012-12-14 20:53:42,614: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:55161/
[rosmaster.master][INFO] 2012-12-14 20:53:42,621: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:44879/
[rosmaster.master][INFO] 2012-12-14 20:53:42,623: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:51291/
[rosmaster.master][INFO] 2012-12-14 20:53:42,624: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:55161/
[rosmaster.master][INFO] 2012-12-14 20:53:42,638: +SERVICE [/camera/register_depth_rgb/set_logger_level] /camera/register_depth_rgb http://pc:51291/
[rosmaster.master][INFO] 2012-12-14 20:53:42,639: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:48521/
[rosmaster.master][INFO] 2012-12-14 20:53:42,644: +PUB [/rosout] /camera/depth_registered/metric http://pc:41415/
[rosmaster.master][INFO] 2012-12-14 20:53:42,653: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:48521/
[rosmaster.master][INFO] 2012-12-14 20:53:42,655: +SERVICE [/camera/depth_registered/metric/get_loggers] /camera/depth_registered/metric http://pc:41415/
[rosmaster.master][INFO] 2012-12-14 20:53:42,656: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:44335/
[rosmaster.master][INFO] 2012-12-14 20:53:42,663: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:48521/
[rosmaster.master][INFO] 2012-12-14 20:53:42,665: +SERVICE [/camera/depth_registered/metric/set_logger_level] /camera/depth_registered/metric http://pc:41415/
[rosmaster.master][INFO] 2012-12-14 20:53:42,668: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:44335/
[rosmaster.master][INFO] 2012-12-14 20:53:42,680: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:44335/
[rosmaster.master][INFO] 2012-12-14 20:53:42,682: +PUB [/rosout] /camera/disparity_depth_registered http://pc:55322/
[rosmaster.master][INFO] 2012-12-14 20:53:42,684: +PUB [/rosout] /camera_base_link http://pc:53812/
[rosmaster.master][INFO] 2012-12-14 20:53:42,691: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:55322/
[rosmaster.master][INFO] 2012-12-14 20:53:42,691: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,693: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,694: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:53812/
[rosmaster.master][INFO] 2012-12-14 20:53:42,700: +PUB [/rosout] /camera_base_link1 http://pc:51553/
[rosmaster.master][INFO] 2012-12-14 20:53:42,701: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,707: +SERVICE [/camera/disparity_depth_registered/set_logger_level] /camera/disparity_depth_registered http://pc:55322/
[rosmaster.master][INFO] 2012-12-14 20:53:42,707: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,709: publisherUpdate[/rosout] -> http://pc:50892/
[rosmaster.master][INFO] 2012-12-14 20:53:42,716: publisherUpdate[/rosout] -> http://pc:50892/
