[rosmaster.main][INFO] 2012-12-14 17:18:59,458: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 17:18:59,458: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 17:18:59,460: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 17:18:59,461: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 17:18:59,461: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 17:18:59,461: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 17:18:59,478: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,482: +PARAM [/roslaunch/uris/host_pc__52760] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,511: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,511: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,512: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,512: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,512: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,512: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,512: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,512: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,512: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,512: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,513: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,513: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,513: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 17:18:59,520: +SERVICE [/rosout/get_loggers] /rosout http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,521: +SERVICE [/rosout/set_logger_level] /rosout http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,524: +PUB [/rosout_agg] /rosout http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,525: +SUB [/rosout] /rosout http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,543: +PUB [/rosout] /camera/driver http://pc:49514/
[rosmaster.master][INFO] 2012-12-14 17:18:59,545: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:49514/
[rosmaster.master][INFO] 2012-12-14 17:18:59,547: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:49514/
[rosmaster.master][INFO] 2012-12-14 17:18:59,552: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 17:18:59,558: +PUB [/rosout] /camera/rgb/debayer http://pc:46694/
[rosmaster.master][INFO] 2012-12-14 17:18:59,559: publisherUpdate[/rosout] -> http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,562: publisherUpdate[/rosout] -> http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,566: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:46694/
[rosmaster.master][INFO] 2012-12-14 17:18:59,568: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:46694/
[rosmaster.master][INFO] 2012-12-14 17:18:59,569: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:33184/
[rosmaster.master][INFO] 2012-12-14 17:18:59,572: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:33184/
[rosmaster.master][INFO] 2012-12-14 17:18:59,579: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:33184/
[rosmaster.master][INFO] 2012-12-14 17:18:59,592: +PUB [/rosout] /camera/rgb/rectify_color http://pc:58113/
[rosmaster.master][INFO] 2012-12-14 17:18:59,596: +PUB [/rosout] /camera/ir/rectify_ir http://pc:50838/
[rosmaster.master][INFO] 2012-12-14 17:18:59,598: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:58113/
[rosmaster.master][INFO] 2012-12-14 17:18:59,604: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:50838/
[rosmaster.master][INFO] 2012-12-14 17:18:59,606: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:58113/
[rosmaster.master][INFO] 2012-12-14 17:18:59,611: +PUB [/rosout] /camera/depth/rectify_depth http://pc:45336/
[rosmaster.master][INFO] 2012-12-14 17:18:59,614: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:50838/
[rosmaster.master][INFO] 2012-12-14 17:18:59,622: +PUB [/rosout] /camera/depth/metric_rect http://pc:39294/
[rosmaster.master][INFO] 2012-12-14 17:18:59,626: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:45336/
[rosmaster.master][INFO] 2012-12-14 17:18:59,642: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:39294/
[rosmaster.master][INFO] 2012-12-14 17:18:59,644: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:45336/
[rosmaster.master][INFO] 2012-12-14 17:18:59,652: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:39294/
[rosmaster.master][INFO] 2012-12-14 17:18:59,658: +PUB [/rosout] /camera/depth/points http://pc:52350/
[rosmaster.master][INFO] 2012-12-14 17:18:59,663: publisherUpdate[/rosout] -> http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,670: publisherUpdate[/rosout] -> http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,674: publisherUpdate[/rosout] -> http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,675: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:52350/
[rosmaster.master][INFO] 2012-12-14 17:18:59,680: publisherUpdate[/rosout] -> http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,682: publisherUpdate[/rosout] -> http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,683: publisherUpdate[/rosout] -> http://pc:32862/
[rosmaster.master][INFO] 2012-12-14 17:18:59,687: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:37247/
[rosmaster.master][INFO] 2012-12-14 17:18:59,690: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-14 17:18:59,693: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:60986/
