[rosmaster.main][INFO] 2012-12-14 20:10:48,733: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:10:48,734: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:10:48,735: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:10:48,737: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:10:48,737: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:10:48,737: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:10:48,749: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,752: +PARAM [/roslaunch/uris/host_pc__49443] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,788: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,788: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,788: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,788: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,788: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,789: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,789: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,789: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,789: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,789: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,789: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,789: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,790: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:10:48,793: +SERVICE [/rosout/get_loggers] /rosout http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,794: +SERVICE [/rosout/set_logger_level] /rosout http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,796: +PUB [/rosout_agg] /rosout http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,797: +SUB [/rosout] /rosout http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,826: +PUB [/rosout] /camera/driver http://pc:37108/
[rosmaster.master][INFO] 2012-12-14 20:10:48,827: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:37108/
[rosmaster.master][INFO] 2012-12-14 20:10:48,831: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:37108/
[rosmaster.master][INFO] 2012-12-14 20:10:48,834: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,847: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 20:10:48,849: +PUB [/rosout] /camera/rgb/debayer http://pc:53614/
[rosmaster.master][INFO] 2012-12-14 20:10:48,861: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:53614/
[rosmaster.master][INFO] 2012-12-14 20:10:48,865: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:33164/
[rosmaster.master][INFO] 2012-12-14 20:10:48,867: +PUB [/rosout] /camera/rgb/rectify_color http://pc:46169/
[rosmaster.master][INFO] 2012-12-14 20:10:48,869: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:53614/
[rosmaster.master][INFO] 2012-12-14 20:10:48,870: +PUB [/rosout] /camera/ir/rectify_ir http://pc:47540/
[rosmaster.master][INFO] 2012-12-14 20:10:48,878: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:46169/
[rosmaster.master][INFO] 2012-12-14 20:10:48,885: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:33164/
[rosmaster.master][INFO] 2012-12-14 20:10:48,888: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:47540/
[rosmaster.master][INFO] 2012-12-14 20:10:48,891: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:46169/
[rosmaster.master][INFO] 2012-12-14 20:10:48,896: +PUB [/rosout] /camera/depth/rectify_depth http://pc:60500/
[rosmaster.master][INFO] 2012-12-14 20:10:48,902: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:33164/
[rosmaster.master][INFO] 2012-12-14 20:10:48,907: +PUB [/rosout] /camera/depth/metric_rect http://pc:41808/
[rosmaster.master][INFO] 2012-12-14 20:10:48,912: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:60500/
[rosmaster.master][INFO] 2012-12-14 20:10:48,923: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:41808/
[rosmaster.master][INFO] 2012-12-14 20:10:48,927: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:60500/
[rosmaster.master][INFO] 2012-12-14 20:10:48,938: +PUB [/rosout] /camera/depth/metric http://pc:46843/
[rosmaster.master][INFO] 2012-12-14 20:10:48,939: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:41808/
[rosmaster.master][INFO] 2012-12-14 20:10:48,940: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,946: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,948: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,950: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,951: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,951: +PUB [/rosout] /camera/register_depth_rgb http://pc:58091/
[rosmaster.master][INFO] 2012-12-14 20:10:48,952: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,953: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,954: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:48,959: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:41034/
[rosmaster.master][INFO] 2012-12-14 20:10:48,963: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:46843/
[rosmaster.master][INFO] 2012-12-14 20:10:48,970: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:41034/
[rosmaster.master][INFO] 2012-12-14 20:10:48,974: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:46843/
[rosmaster.master][INFO] 2012-12-14 20:10:48,978: +PUB [/rosout] /camera/depth_registered/metric_rect http://pc:47081/
[rosmaster.master][INFO] 2012-12-14 20:10:48,982: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:41034/
[rosmaster.master][INFO] 2012-12-14 20:10:48,984: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:40774/
[rosmaster.master][INFO] 2012-12-14 20:10:48,990: +SERVICE [/camera/depth_registered/metric_rect/get_loggers] /camera/depth_registered/metric_rect http://pc:47081/
[rosmaster.master][INFO] 2012-12-14 20:10:48,997: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:40774/
[rosmaster.master][INFO] 2012-12-14 20:10:49,002: +SERVICE [/camera/depth_registered/metric_rect/set_logger_level] /camera/depth_registered/metric_rect http://pc:47081/
[rosmaster.master][INFO] 2012-12-14 20:10:49,010: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:40774/
[rosmaster.master][INFO] 2012-12-14 20:10:49,011: +PUB [/rosout] /camera/disparity_depth_registered http://pc:49789/
[rosmaster.master][INFO] 2012-12-14 20:10:49,019: +PUB [/rosout] /camera_base_link http://pc:56320/
[rosmaster.master][INFO] 2012-12-14 20:10:49,021: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-14 20:10:49,035: +PUB [/rosout] /camera_base_link1 http://pc:37595/
[rosmaster.master][INFO] 2012-12-14 20:10:49,036: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:56320/
[rosmaster.master][INFO] 2012-12-14 20:10:49,045: +SERVICE [/camera_base_link1/get_loggers] /camera_base_link1 http://pc:37595/
[rosmaster.master][INFO] 2012-12-14 20:10:49,046: +SERVICE [/camera_base_link/set_logger_level] /camera_base_link http://pc:56320/
[rosmaster.master][INFO] 2012-12-14 20:10:49,048: +PUB [/rosout] /camera_base_link2 http://pc:46774/
[rosmaster.master][INFO] 2012-12-14 20:10:49,050: +PUB [/rosout] /camera_base_link3 http://pc:57510/
[rosmaster.master][INFO] 2012-12-14 20:10:49,053: +SERVICE [/camera_base_link1/set_logger_level] /camera_base_link1 http://pc:37595/
[rosmaster.master][INFO] 2012-12-14 20:10:49,054: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:49,059: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:49,060: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:49,061: +SERVICE [/camera_base_link2/get_loggers] /camera_base_link2 http://pc:46774/
[rosmaster.master][INFO] 2012-12-14 20:10:49,061: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:49,063: +SERVICE [/camera_base_link3/get_loggers] /camera_base_link3 http://pc:57510/
[rosmaster.master][INFO] 2012-12-14 20:10:49,063: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:49,065: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:49,067: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:49,068: publisherUpdate[/rosout] -> http://pc:47129/
[rosmaster.master][INFO] 2012-12-14 20:10:49,069: +PUB [/tf] /camera_base_link http://pc:56320/
[rosmaster.master][INFO] 2012-12-14 20:10:49,072: +SERVICE [/camera_base_link2/set_logger_level] /camera_base_link2 http://pc:46774/
[rosmaster.master][INFO] 2012-12-14 20:10:49,073: +PUB [/tf] /camera_base_link1 http://pc:37595/
