[rosmaster.main][INFO] 2012-12-14 20:25:14,588: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 20:25:14,588: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 20:25:14,589: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 20:25:14,590: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 20:25:14,591: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 20:25:14,591: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 20:25:14,606: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,610: +PARAM [/roslaunch/uris/host_pc__40310] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,641: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,641: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,642: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,642: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,642: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,642: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,642: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,643: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,643: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,643: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,643: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,643: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,644: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 20:25:14,647: +SERVICE [/rosout/get_loggers] /rosout http://pc:38425/
[rosmaster.master][INFO] 2012-12-14 20:25:14,648: +SERVICE [/rosout/set_logger_level] /rosout http://pc:38425/
[rosmaster.master][INFO] 2012-12-14 20:25:14,650: +PUB [/rosout_agg] /rosout http://pc:38425/
[rosmaster.master][INFO] 2012-12-14 20:25:14,651: +SUB [/rosout] /rosout http://pc:38425/
[rosmaster.master][INFO] 2012-12-14 20:25:14,679: +PUB [/rosout] /camera/driver http://pc:51175/
[rosmaster.master][INFO] 2012-12-14 20:25:14,680: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:51175/
[rosmaster.master][INFO] 2012-12-14 20:25:14,686: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:51175/
[rosmaster.master][INFO] 2012-12-14 20:25:14,689: publisherUpdate[/rosout] -> http://pc:38425/
