[rosmaster.main][INFO] 2012-12-14 14:27:20,901: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-14 14:27:20,901: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-14 14:27:20,903: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-14 14:27:20,904: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-14 14:27:20,904: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-14 14:27:20,905: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-14 14:27:20,924: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,928: +PARAM [/roslaunch/uris/host_pc__42465] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,953: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,954: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,954: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,954: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,954: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,955: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,955: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,955: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,955: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,955: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,955: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,955: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,955: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-14 14:27:20,958: +SERVICE [/rosout/get_loggers] /rosout http://pc:60570/
[rosmaster.master][INFO] 2012-12-14 14:27:20,960: +SERVICE [/rosout/set_logger_level] /rosout http://pc:60570/
[rosmaster.master][INFO] 2012-12-14 14:27:20,962: +PUB [/rosout_agg] /rosout http://pc:60570/
[rosmaster.master][INFO] 2012-12-14 14:27:20,964: +SUB [/rosout] /rosout http://pc:60570/
[rosmaster.master][INFO] 2012-12-14 14:27:20,993: +PUB [/rosout] /camera/driver http://pc:39800/
[rosmaster.master][INFO] 2012-12-14 14:27:20,995: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:39800/
[rosmaster.master][INFO] 2012-12-14 14:27:20,996: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:39800/
[rosmaster.master][INFO] 2012-12-14 14:27:21,002: publisherUpdate[/rosout] -> http://pc:60570/
[rosmaster.master][INFO] 2012-12-14 14:27:21,005: +PUB [/rosout] /camera/rgb/debayer http://pc:50119/
[rosmaster.master][INFO] 2012-12-14 14:27:21,007: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-14 14:27:21,010: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:50119/
[rosmaster.master][INFO] 2012-12-14 14:27:21,012: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:50119/
[rosmaster.master][INFO] 2012-12-14 14:27:21,022: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:47167/
