[rosmaster.main][INFO] 2012-12-15 16:56:30,712: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 16:56:30,712: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 16:56:30,713: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 16:56:30,715: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 16:56:30,715: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 16:56:30,715: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 16:56:30,725: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,728: +PARAM [/roslaunch/uris/host_pc__48575] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,755: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,756: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,756: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,756: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,756: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,756: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,756: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,756: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,756: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,756: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,757: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,757: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,757: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 16:56:30,763: +SERVICE [/rosout/get_loggers] /rosout http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,766: +SERVICE [/rosout/set_logger_level] /rosout http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,769: +PUB [/rosout_agg] /rosout http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,770: +SUB [/rosout] /rosout http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,788: +PUB [/rosout] /camera/driver http://pc:59693/
[rosmaster.master][INFO] 2012-12-15 16:56:30,790: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:59693/
[rosmaster.master][INFO] 2012-12-15 16:56:30,791: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:59693/
[rosmaster.master][INFO] 2012-12-15 16:56:30,798: +PARAM [/camera/driver] by /camera/driver
[rosmaster.master][INFO] 2012-12-15 16:56:30,803: +PUB [/rosout] /camera/rgb/debayer http://pc:36157/
[rosmaster.master][INFO] 2012-12-15 16:56:30,805: +SERVICE [/camera/rgb/debayer/get_loggers] /camera/rgb/debayer http://pc:36157/
[rosmaster.master][INFO] 2012-12-15 16:56:30,806: +SERVICE [/camera/rgb/debayer/set_logger_level] /camera/rgb/debayer http://pc:36157/
[rosmaster.master][INFO] 2012-12-15 16:56:30,813: publisherUpdate[/rosout] -> http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,814: +PUB [/rosout] /camera/rgb/rectify_mono http://pc:58874/
[rosmaster.master][INFO] 2012-12-15 16:56:30,817: publisherUpdate[/rosout] -> http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,818: publisherUpdate[/rosout] -> http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,820: +SERVICE [/camera/rgb/rectify_mono/get_loggers] /camera/rgb/rectify_mono http://pc:58874/
[rosmaster.master][INFO] 2012-12-15 16:56:30,824: +SERVICE [/camera/rgb/rectify_mono/set_logger_level] /camera/rgb/rectify_mono http://pc:58874/
[rosmaster.master][INFO] 2012-12-15 16:56:30,836: +PUB [/rosout] /camera/rgb/rectify_color http://pc:39069/
[rosmaster.master][INFO] 2012-12-15 16:56:30,839: +SERVICE [/camera/rgb/rectify_color/get_loggers] /camera/rgb/rectify_color http://pc:39069/
[rosmaster.master][INFO] 2012-12-15 16:56:30,843: +SERVICE [/camera/rgb/rectify_color/set_logger_level] /camera/rgb/rectify_color http://pc:39069/
[rosmaster.master][INFO] 2012-12-15 16:56:30,845: +PUB [/rosout] /camera/ir/rectify_ir http://pc:34411/
[rosmaster.master][INFO] 2012-12-15 16:56:30,849: +SERVICE [/camera/ir/rectify_ir/get_loggers] /camera/ir/rectify_ir http://pc:34411/
[rosmaster.master][INFO] 2012-12-15 16:56:30,852: +SERVICE [/camera/ir/rectify_ir/set_logger_level] /camera/ir/rectify_ir http://pc:34411/
[rosmaster.master][INFO] 2012-12-15 16:56:30,868: +PUB [/rosout] /camera/depth/rectify_depth http://pc:37277/
[rosmaster.master][INFO] 2012-12-15 16:56:30,877: +SERVICE [/camera/depth/rectify_depth/get_loggers] /camera/depth/rectify_depth http://pc:37277/
[rosmaster.master][INFO] 2012-12-15 16:56:30,880: +PUB [/rosout] /camera/depth/metric_rect http://pc:35571/
[rosmaster.master][INFO] 2012-12-15 16:56:30,884: +SERVICE [/camera/depth/rectify_depth/set_logger_level] /camera/depth/rectify_depth http://pc:37277/
[rosmaster.master][INFO] 2012-12-15 16:56:30,888: +PUB [/rosout] /camera/depth/metric http://pc:35210/
[rosmaster.master][INFO] 2012-12-15 16:56:30,890: +SERVICE [/camera/depth/metric_rect/get_loggers] /camera/depth/metric_rect http://pc:35571/
[rosmaster.master][INFO] 2012-12-15 16:56:30,900: +SERVICE [/camera/depth/metric/get_loggers] /camera/depth/metric http://pc:35210/
[rosmaster.master][INFO] 2012-12-15 16:56:30,902: +SERVICE [/camera/depth/metric_rect/set_logger_level] /camera/depth/metric_rect http://pc:35571/
[rosmaster.master][INFO] 2012-12-15 16:56:30,908: +PUB [/rosout] /camera/depth/points http://pc:55301/
[rosmaster.master][INFO] 2012-12-15 16:56:30,910: +SERVICE [/camera/depth/metric/set_logger_level] /camera/depth/metric http://pc:35210/
[rosmaster.master][INFO] 2012-12-15 16:56:30,914: +PARAM [/camera/depth/rectify_depth] by /camera/depth/rectify_depth
[rosmaster.master][INFO] 2012-12-15 16:56:30,917: +SERVICE [/camera/depth/points/get_loggers] /camera/depth/points http://pc:55301/
[rosmaster.master][INFO] 2012-12-15 16:56:30,919: publisherUpdate[/rosout] -> http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,922: publisherUpdate[/rosout] -> http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,923: publisherUpdate[/rosout] -> http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,925: publisherUpdate[/rosout] -> http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,926: publisherUpdate[/rosout] -> http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,928: publisherUpdate[/rosout] -> http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:30,933: +SERVICE [/camera/depth/points/set_logger_level] /camera/depth/points http://pc:55301/
[rosmaster.master][INFO] 2012-12-15 16:56:30,935: +PUB [/rosout] /camera/register_depth_rgb http://pc:39896/
[rosmaster.master][INFO] 2012-12-15 16:56:30,942: +PUB [/rosout] /camera/depth_registered/rectify_depth http://pc:52586/
[rosmaster.master][INFO] 2012-12-15 16:56:30,955: +SERVICE [/camera/depth_registered/rectify_depth/get_loggers] /camera/depth_registered/rectify_depth http://pc:52586/
[rosmaster.master][INFO] 2012-12-15 16:56:30,957: +SERVICE [/camera/register_depth_rgb/get_loggers] /camera/register_depth_rgb http://pc:39896/
[rosmaster.master][INFO] 2012-12-15 16:56:30,974: +SERVICE [/camera/depth_registered/rectify_depth/set_logger_level] /camera/depth_registered/rectify_depth http://pc:52586/
[rosmaster.master][INFO] 2012-12-15 16:56:30,980: +PUB [/rosout] /camera/points_xyzrgb_depth_rgb http://pc:49073/
[rosmaster.master][INFO] 2012-12-15 16:56:30,999: +SERVICE [/camera/points_xyzrgb_depth_rgb/get_loggers] /camera/points_xyzrgb_depth_rgb http://pc:49073/
[rosmaster.master][INFO] 2012-12-15 16:56:31,003: +PUB [/rosout] /camera/disparity_depth_registered http://pc:56254/
[rosmaster.master][INFO] 2012-12-15 16:56:31,007: +PUB [/rosout] /camera_base_link http://pc:59752/
[rosmaster.master][INFO] 2012-12-15 16:56:31,008: +SERVICE [/camera/points_xyzrgb_depth_rgb/set_logger_level] /camera/points_xyzrgb_depth_rgb http://pc:49073/
[rosmaster.master][INFO] 2012-12-15 16:56:31,010: +PARAM [/camera/depth_registered/rectify_depth] by /camera/depth_registered/rectify_depth
[rosmaster.master][INFO] 2012-12-15 16:56:31,012: +SERVICE [/camera/disparity_depth_registered/get_loggers] /camera/disparity_depth_registered http://pc:56254/
[rosmaster.master][INFO] 2012-12-15 16:56:31,017: +PUB [/rosout] /camera_base_link1 http://pc:56305/
[rosmaster.master][INFO] 2012-12-15 16:56:31,021: publisherUpdate[/rosout] -> http://pc:60397/
[rosmaster.master][INFO] 2012-12-15 16:56:31,027: +SERVICE [/camera_base_link/get_loggers] /camera_base_link http://pc:59752/
