[rosmaster.main][INFO] 2012-12-15 19:55:29,039: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 19:55:29,040: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 19:55:29,041: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 19:55:29,042: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 19:55:29,043: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 19:55:29,043: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 19:55:29,061: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,065: +PARAM [/roslaunch/uris/host_pc__45640] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,094: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,094: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,094: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,094: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,095: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,095: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,095: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,095: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,095: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,095: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,095: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,095: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,096: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 19:55:29,101: +SERVICE [/rosout/get_loggers] /rosout http://pc:45216/
