[rosmaster.main][INFO] 2012-12-15 18:08:09,319: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2012-12-15 18:08:09,319: Starting ROS Master Node
[xmlrpc][INFO] 2012-12-15 18:08:09,320: XML-RPC server binding to 0.0.0.0
[xmlrpc][INFO] 2012-12-15 18:08:09,321: Started XML-RPC server [http://pc:11311/]
[rosmaster.master][INFO] 2012-12-15 18:08:09,322: Master initialized: port[11311], uri[http://pc:11311/]
[xmlrpc][INFO] 2012-12-15 18:08:09,322: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2012-12-15 18:08:09,432: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,437: +PARAM [/roslaunch/uris/host_pc__54782] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,463: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,464: +PARAM [/camera/driver/rgb_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,464: +PARAM [/camera/disparity_depth_registered/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,464: +PARAM [/camera/driver/rgb_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,464: +PARAM [/camera/depth_registered/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,464: +PARAM [/camera/driver/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,464: +PARAM [/camera/depth/rectify_depth/interpolation] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,465: +PARAM [/camera/disparity_depth/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,465: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,465: +PARAM [/camera/driver/device_id] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,465: +PARAM [/camera/driver/depth_camera_info_url] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,465: +PARAM [/camera/disparity_depth/min_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,465: +PARAM [/camera/disparity_depth_registered/max_range] by /roslaunch
[rosmaster.master][INFO] 2012-12-15 18:08:09,471: +SERVICE [/rosout/get_loggers] /rosout http://pc:36347/
[rosmaster.master][INFO] 2012-12-15 18:08:09,472: +SERVICE [/rosout/set_logger_level] /rosout http://pc:36347/
[rosmaster.master][INFO] 2012-12-15 18:08:09,476: +PUB [/rosout_agg] /rosout http://pc:36347/
[rosmaster.master][INFO] 2012-12-15 18:08:09,478: +SUB [/rosout] /rosout http://pc:36347/
[rosmaster.master][INFO] 2012-12-15 18:08:09,502: +PUB [/rosout] /camera/driver http://pc:34921/
[rosmaster.master][INFO] 2012-12-15 18:08:09,504: +SERVICE [/camera/driver/get_loggers] /camera/driver http://pc:34921/
[rosmaster.master][INFO] 2012-12-15 18:08:09,506: +SERVICE [/camera/driver/set_logger_level] /camera/driver http://pc:34921/
[rosmaster.master][INFO] 2012-12-15 18:08:09,510: +PUB [/rosout] /camera/rgb/debayer http://pc:37235/
